"frame","x [nm]","y [nm]","z [nm]","sigma1 [nm]","sigma2 [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
1.0,21340.31966802226,52298.14913640103,-573.8152525613973,455.0606031584824,215.35473669730882,231.1447754373969,6.647744395823786,2.968797168380877,8727.330980256174,47.11911444131848
1.0,21777.380504761808,52975.57162308065,-403.4044955937454,349.724810635863,186.73326164174046,111.04314264329263,8.407617366360428,3.721922382581246,12241.575265464779,72.91255463230749
1.0,22641.07106631526,54234.764493876966,-403.1109206539053,349.5630134419773,186.70612817101764,431.71399168120075,7.692395177756605,3.7591321490080243,12213.26867807928,24.1988967759335
1.0,24810.46497513704,52860.09365211173,118.13362703891575,168.99143204151414,258.8152879409332,89.20010884366815,5.52069431175002,1.4209088094753508,3157.876547993882,37.75173059416638
2.0,21492.159516533247,52412.39876959282,-1029.46497488278,848.6769109000829,418.1044912958415,440.3796609084837,4.965379854527477,2.2905308754344262,5981.356645957441,67.41429257854138
2.0,22748.674765155603,54224.04980190035,-596.4585511044496,470.7728424812623,221.09201255659633,642.8300979850916,6.755545844702951,2.7527707271695636,6853.916484517892,22.32426732481118
2.0,22734.98513932591,54223.051347251276,-571.6745007998633,453.59595501412724,214.83579675684516,611.9594952232899,7.014761758614301,2.7152158202264305,6538.69152415338,21.980511707914392
2.0,23544.12391637531,55225.15230191932,-307.6105625561217,300.5208743767162,181.92743827931014,70.84171992559448,7.183787321259928,5.384158181473927,16281.533112777175,128.1346891831501
2.0,24779.238678546113,52907.82620701049,232.8128000976402,157.88771863705668,306.94810986071116,91.63380917179586,5.229175533439534,1.6450045954671122,4439.450846355776,41.65246415916727
3.0,21284.1283235089,52370.714586970826,-413.4685455081865,355.31229833586286,187.70954770159105,123.20139261078918,5.848132223100118,2.083273757699542,5900.793103791375,46.858216110096016
3.0,22708.306725617855,54249.138573619864,-462.04991982511376,383.402586649888,193.68292333629591,393.93417910303725,6.940724764782027,2.741606219073974,7595.121798554916,24.753973966108664
3.0,24797.137676862556,52843.46292995725,122.35542061422544,168.3996268387752,260.3809113147135,79.44974868729211,4.9976847644367615,1.6869959493411586,4619.764346949667,43.35347157148059
4.0,21320.332162852214,52350.48458198972,-336.24443230158204,314.4736797679143,182.5130601665496,105.14399991366943,5.5744455390751595,1.858258735834933,5138.426203475318,44.713803907140374
4.0,22639.65267872089,54184.80317985783,-444.62423293670054,373.11376999102526,191.30010830357887,440.03485280844654,6.334666627049365,2.802714278033791,8408.97442919977,22.529821868794972
4.0,22640.085262186818,54185.02670149144,-440.4478918018046,370.6833028510597,190.7689475033672,431.4721702933895,6.528614716855025,2.7230060053866385,7918.047238765867,22.463629821786665
4.0,23322.302405428673,55059.26970181059,72.27049280402537,176.3220547509111,242.8236325043419,61.73403408838334,7.32533788082722,5.763563033438731,17243.113416253356,123.12545684332962
4.0,24028.71707765975,55732.292173764676,-250.38806672302616,274.56562720177516,182.93093503587804,87.2373073737171,5.856985246704062,2.3138024483924795,6119.344509791956,52.007207126536386
4.0,24782.110317485007,52841.73521766275,143.33229550854077,165.6665885057628,268.3939270442808,42.93325236852741,5.169528426992654,1.605316273875135,4154.03513664005,67.1102632829952
5.0,21888.212222271046,52470.36220682698,-1160.7048457227822,992.2810386373886,510.5825606483006,522.1621320182422,4.414936941115025,1.7474063384563283,4369.615464659614,66.45263723179623
5.0,21542.098422713854,52693.43004075293,-284.8278797100925,289.8790311360992,181.97979712949956,66.63780513163388,5.986527820500559,1.9914922401224158,5158.309189352787,61.286409252246614
5.0,22648.05136493402,54191.031953809455,-518.8727534227447,418.6090013010185,203.31974813757392,421.92177525547606,5.733156676481927,2.597046231302766,6810.06971792254,25.399161769947817
5.0,23850.557257791395,55075.91979642618,1491.5432975566027,714.546840720372,1600.179246077414,1160.3900595431396,3.0176578701072327,1.6723701845344694,4330.682792308536,65.62647424347068
5.0,24749.42064804778,52872.28025737393,330.59302154148327,156.57414570562761,357.1801566786332,68.54935340509248,4.5662117768208335,1.5656301871985636,4646.85297742227,55.40308124679401
6.0,21371.177012122702,52439.054693046186,-1104.771965372102,929.4253964369633,469.3057594863213,398.5179712694578,4.572393618326547,1.989490207222825,5524.132910712644,79.1871521727987
6.0,22631.561612009096,54208.35579255134,-480.8913179515728,394.7954991802146,196.56167427937453,354.29547527281755,6.135694618638234,2.21811152718738,5668.555257660313,25.452171723454477
7.0,21499.850801305616,52291.44221403258,-636.0441819628749,499.2082791254071,232.21204107024465,131.18622523605336,5.1752546354549605,1.6040627232026228,3930.373681951184,59.26791607516436
7.0,22637.052765229175,54173.02287936446,-521.0564073178465,420.0125277913099,203.74709532296134,356.2514326769421,5.907970185465363,2.2938040342048907,6120.547603492015,27.353515491828237
7.0,23698.53592161422,55471.13178057974,-228.37021777757442,265.2634630703787,184.0890339781867,69.32353473595568,5.695390963564524,2.101652707356255,6135.691585991705,57.68620698270756
8.0,22631.09797960807,54165.174135801186,-474.38121650840924,390.8274979285878,195.5314843970269,329.86565359014463,5.964750213888876,2.2108775435454278,5727.487263452623,26.38561818033389
8.0,24054.71835751182,55874.30912713618,62.94025053111597,178.01549660026834,239.79820117220797,51.99742102708137,5.4239981586304955,1.7477232211004234,4982.835906188521,58.80668813279742
9.0,21442.04384022827,52171.61877425046,-508.13815250175395,411.7638491980878,201.28031492707623,84.6797130834426,4.847236283496374,1.5831684513673467,4170.210365194596,63.63920055410544
9.0,23113.494308168407,54897.3304739981,-175.03510512511093,244.30773079871932,188.67263080948945,36.413864020927754,5.58916751161382,1.7664563185472066,4341.206350337035,83.04254489830419
9.0,24019.08304609337,55769.11735744676,-19.920142801559518,196.0529688883413,216.30983141512883,63.74617423918697,5.362090904140855,1.7789780694970185,4625.744306535132,50.72109511721052
10.0,21504.204218805597,52114.51196640051,-367.2261704279667,330.2955068827943,183.96393981542238,66.29741668606515,4.732453845425329,1.6192312876961168,4783.751641221708,61.34124156829085
10.0,23388.256930342806,55101.07067651805,54.10121304877664,179.68281964220708,237.00310840507285,41.03815085526133,5.637996864805107,1.5405660686958356,3835.654669572325,65.81335205800028
11.0,21209.47925737136,51961.73168554591,-536.3726603350841,429.9621326557473,206.86312537578775,71.7396611470953,4.531430215796414,1.6011597269446132,5373.22968989691,76.81572453646591
11.0,23138.006204071426,54824.48059710819,39.44608396917673,182.58238371352348,232.52118972490518,37.259763566255245,4.907124392420338,1.6360832169980755,4711.349610949168,73.014575443236
13.0,21490.640180473136,52203.90528439956,-481.0658595984349,394.90234279382156,196.58981084289908,51.36998551213342,4.659882253706032,1.5648231477476193,4158.571172317283,88.75145801116521
13.0,21788.615444906867,52909.7521569196,191.85272301409591,160.6684752337219,288.42040656854107,38.39130527702183,5.037458521281298,1.640240403982158,4632.924087236341,76.46328865569083
15.0,22090.984209995553,53219.23081101189,-55.629054134208296,205.48810206489506,208.06086203884433,40.87057698498924,4.974069805949178,1.582377184252711,4225.26256229825,67.13299249347658
15.0,22632.892656098382,53953.58223751288,-41.965283520429416,201.75958429204246,211.08399318807162,45.36274224145301,5.042718214756712,1.5848766032062955,4369.938722846039,61.92175500909172
20.0,22271.929081465012,53498.58762245625,56.742357593942586,179.178190910975,237.83105180072218,42.867786641331215,4.780879058557217,1.6993782018160426,5050.312668552324,67.06616721332834
21.0,23658.120988750175,55741.47768571515,-58.25018125552807,206.2200990274688,207.4998201777968,37.717421085736234,4.549618240742534,1.3313672682261977,3478.010082829782,65.5326128402328
24.0,22682.75807420871,54132.037514782045,-523.3844810561055,421.51300167996493,204.20735341409537,222.07454898214652,4.792569600917594,1.7824821342197916,4379.5984026933575,34.589563904791454
25.0,22711.724024058887,54116.32966525295,-526.3892652392658,423.45591372346996,204.80848672316742,371.76101976099466,4.805245419073411,1.939494286882782,5317.91493815141,25.477217291151383
26.0,22674.786532944476,54100.3318378367,-504.57768909080977,409.5134192191536,200.62639402733913,340.6178443703729,4.703526016005037,1.9818632520697865,4960.8136168285655,26.191234717236945
27.0,22663.35708578338,54081.066925804895,-501.4465096301926,407.542546811836,200.06058710996373,274.64275168114295,4.846623791067497,1.674222781749213,4126.975322371521,28.547158862102165
36.0,21350.787259658413,52579.03889158316,554.575883026559,181.85238832660693,504.1340464389736,73.6511103839527,4.309611988098683,1.31867887626211,3584.230761665014,69.55850236349742
41.0,22131.162263295853,53439.685299703,-192.79754899867316,251.03871326027712,186.8665562819931,34.830568309017046,4.31661075659918,1.423190701391114,4143.858752601914,76.95131940300155
44.0,22442.062354499903,53995.8730728067,210.64950931890147,159.22885720420007,296.73853102537925,91.5934091412829,4.272861808789801,1.3500845761429683,3404.3004754655303,38.408642270159774
55.0,24902.76793009537,50886.598626024424,16.615253891334188,187.43545139976865,225.91761069376122,28.24615236873438,4.064244482887853,1.1644665748754077,2971.4442413536854,75.52390174889243
69.0,24109.019784760185,55216.34795392048,172.02767863724821,162.48737488822934,279.9860378360308,40.06486951738082,3.993141185234766,1.2775843497295734,3730.1891630543323,64.34853136282157
111.0,22744.3368510466,54151.79524370568,-466.21206464061834,385.89534876839025,194.29181800106858,149.50942695340703,4.321653054217441,1.631669486692515,4074.7961418521286,39.934108122351425
112.0,22718.404295713917,54167.61239151726,-424.46875675455334,361.5104826240746,188.8791734111447,315.06522827546615,4.40807699332478,1.9510273815521137,5240.14053847906,24.38949717946075
113.0,22705.970107706857,54174.26581273636,-515.1491698460826,416.2243304886278,202.6007649986709,318.90595193774595,4.417225794453537,1.6384751101042765,3958.8149017326145,26.416548722758694
114.0,22745.746496875996,54134.6108192924,-581.6058136165689,460.4210756357304,217.27748180094338,225.34250903169024,4.498629516585966,1.5635711793872733,3864.076734710041,36.2329755564892
122.0,21896.369726565623,53125.9870807268,151.2156953652932,164.72877523504428,271.5059986050535,151.24817630322042,4.304704689738366,1.7534209167814516,4981.797252157232,28.95838100558476
125.0,21953.120664377657,53192.25267837462,-386.0660076289144,340.28509138628226,185.26152763867563,43.72416322307603,4.002315975955706,1.277705194225489,3517.1549472505762,76.52611202940791
125.0,21946.611935222612,53190.92229775155,-384.7760006385515,339.5921956005801,185.1626615702881,44.602028382240796,3.9691448830748666,1.31130704108193,3777.3023983956555,76.23430722159426
