Gene names,Day_00,Day_01,Day_02,Day_03,Day_05,Day_07,Day_10,Day_14,Day_18,Day_21,Max intensity change,Category,,Category,Count
Pkia,0,0.0219412,0.242888,0.602147,-0.181541,-0.186027,-0.133119,-0.133656,-0.301385,-1.39097,-1.39097,-2,,,
Cbx4,0,-0.811653,-0.921038,-1.10441,-1.17074,-1.10017,-1.39009,-0.857308,-0.747194,-0.710914,-1.39009,-2,,,
Fkbp4,0,-0.34878,-0.816008,-0.996893,-1.25305,-1.38981,-1.16848,-1.12989,-1.15748,-1.26703,-1.38981,-2,,,
Atxn3,0,-0.3612,-0.655109,-0.848627,-0.896122,-1.00721,-1.13781,-0.990414,-1.38966,-1.30214,-1.38966,-2,,,
Exosc6,0,-0.757437,-0.742973,-0.946314,-1.22574,-1.03648,-1.07464,-1.38955,-1.18636,-0.966393,-1.38955,-2,,,
Ppic,0,0.32408,0.811932,1.05891,0.642221,0.889685,0.166029,-0.30337,-0.993341,-1.38856,-1.38856,-2,,,
Rbm25,0,-0.422775,-0.791487,-0.989202,-0.996664,-1.24007,-1.15813,-1.38834,-1.35953,-1.0858,-1.38834,-2,,,
Pars2,0,-1.08258,-1.38758,-1.38648,-1.20756,-1.1506,-1.20173,-1.19911,-0.778769,-0.601894,-1.38758,-2,,,
Rps3,0,0.088377,-0.758015,-0.909199,-0.994049,-1.13515,-1.03078,-1.13981,-1.20404,-1.38525,-1.38525,-2,,,
Alyref,0,-0.44496,-0.842266,-0.936865,-0.650217,-0.847216,-1.11217,-1.2257,-1.38514,-1.15838,-1.38514,-2,,,
Crnkl1,0,-0.51135,-1.15255,-1.26629,-1.03276,-0.798654,-1.38454,-1.21355,-0.881068,-1.27427,-1.38454,-2,,,
Rbm5,0,-0.184208,-0.892401,-1.28298,-0.873657,-1.21134,-1.38383,-1.22087,-1.29297,-1.12488,-1.38383,-2,,,
Thoc2,0,-0.561167,-0.299543,-0.623806,0.266966,-1.21619,-1.11544,-1.1127,-1.38322,-1.1545,-1.38322,-2,,,
Cpsf7,0,-0.647493,-0.88862,-1.08635,-0.97402,-1.1564,-1.03803,-1.07518,-1.38254,-1.12097,-1.38254,-2,,,
Abcf1,0,-0.251953,-0.361656,-0.579758,-0.724972,-1.07164,-1.10078,-1.14678,-1.25211,-1.38004,-1.38004,-2,,,
Tor1aip2,0,-0.129801,-0.177219,-0.622591,-0.764584,-1.13886,-1.12637,-1.15956,-1.33361,-1.37987,-1.37987,-2,,,
Znf830,0,-0.515831,-0.832861,-1.01559,-0.908827,-1.08098,-1.23621,-1.10113,-1.07642,-1.37912,-1.37912,-2,,,
Nelfa,0,-0.24848,-1.10038,-1.18093,-1.11508,-1.26691,-1.31355,-1.30588,-1.3779,-1.29017,-1.3779,-2,,,
Znf330,0,-0.00502205,-0.881279,-0.942949,-1.08423,-1.37688,-1.29986,-1.00245,-0.863935,-1.30979,-1.37688,-2,,,
Tubgcp4,0,-0.436811,-0.915688,-0.802843,-1.37579,-1.16916,-1.10672,-1.12688,-1.23458,-1.37686,-1.37686,-2,,,
Snn,0,-0.800819,-0.670939,-0.115069,-0.55399,-0.353954,-0.999089,-1.37675,-1.18221,-0.136518,-1.37675,-2,,,
Akr1b1,0,-0.0635681,-0.321703,-0.481192,-0.902035,-1.00701,-1.00696,-1.11238,-1.37579,-1.35827,-1.37579,-2,,,
Cdk13,0,-0.0964794,-0.376783,-0.65477,-0.674875,-0.848822,-1.03304,-0.67277,-0.803682,-1.37542,-1.37542,-2,,,
Fam50a;Fam50b,0,-0.111132,-0.467743,-1.06544,-0.889704,-1.37482,-1.30175,-0.928387,-1.10317,-0.913412,-1.37482,-2,,,
Vps13b,0,-0.628277,-0.95804,-1.2549,-1.04474,-1.37387,-1.00348,-0.971149,-0.818722,-1.10921,-1.37387,-2,,,
Ppp1r8,0,-0.645729,-0.702534,-0.85705,-1.04234,-1.21171,-1.25932,-1.29255,-1.37352,-0.976923,-1.37352,-2,,,
Git2,0,-0.559065,-0.265062,-0.586935,-0.680464,-1.07987,-1.09088,-0.959774,-1.37263,-1.17614,-1.37263,-2,,,
Sympk,0,-0.689375,-1.07493,-1.09055,-1.00546,-1.09416,-1.11383,-1.26879,-1.37249,-1.06797,-1.37249,-2,,,
Ythdf2,0,-0.353239,-0.948141,-1.30736,-1.18037,-1.20543,-1.34979,-0.789204,-1.07836,-1.3723,-1.3723,-2,,,
Map2,0,-0.364397,-1.08417,-1.11492,-1.2496,-1.27228,-1.27047,-1.33549,-1.37221,-1.34216,-1.37221,-2,,,
Mettl14,0,-0.288043,-0.786433,-0.647065,-1.05603,-0.963959,-0.862883,-1.37119,-1.03316,-0.885983,-1.37119,-2,,,
Hist2h2ab;H2afx,0,0.183347,-0.889411,-1.06581,-1.16178,-1.37118,-1.00744,-0.778588,-1.10829,-0.987991,-1.37118,-2,,,
Naa50,0,-0.439318,-0.831142,-1.08201,-1.15347,-1.30755,-1.31588,-1.17946,-1.3613,-1.37069,-1.37069,-2,,,
Caprin1,0,-0.0855255,-0.818821,-0.959642,-0.979256,-1.20434,-1.0463,-0.666821,-0.79114,-1.37013,-1.37013,-2,,,
Bnip2,0,-0.0792246,-0.897521,-1.13945,-1.29539,-1.36851,-0.98159,-0.990131,-0.945979,-0.967106,-1.36851,-2,,,
C1orf174,0,-0.290275,-0.760936,-1.12118,-1.2438,-1.09361,-1.00044,-0.979448,-0.850853,-1.36802,-1.36802,-2,,,
Cfl1,0,-0.545597,-0.383242,-0.306866,-0.629044,-1.13394,-1.16687,-1.18928,-1.2482,-1.36717,-1.36717,-2,,,
Rcbtb2,0,0.859929,-0.451905,-0.721045,-0.640279,-0.970932,-0.929208,-1.36703,-1.21529,-0.580312,-1.36703,-2,,,
Zpr1,0,-0.53631,-0.613071,-0.822735,-0.882574,-1.23342,-1.14411,-0.953894,-1.26638,-1.36506,-1.36506,-2,,,
Magi1,0,-0.101532,-0.524153,-0.747141,-0.648613,-1.09856,-1.14272,-1.13978,-1.06164,-1.36403,-1.36403,-2,,,
Trmt112,0,-0.324894,-1.00258,-1.09003,-1.26704,-1.34247,-1.23633,-1.36401,-1.01248,-1.15143,-1.36401,-2,,,
Palmd,0,-0.705902,-1.1675,-1.05589,-1.0222,-1.11973,-0.798515,-0.571093,-0.626934,-1.363,-1.363,-2,,,
Pih1d1,0,-0.289986,-1.02235,-1.00069,-0.973888,-1.36254,-1.2526,-1.10585,-1.143,-1.28963,-1.36254,-2,,,
Tmem189,0,-0.0516529,0.167284,-0.182125,0.11549,-0.427702,-0.507914,-1.36205,-0.943789,-0.830914,-1.36205,-2,,,
Ash2l,0,-0.388201,-1.00749,-1.10652,-1.33403,-1.25037,-1.36204,-1.32413,-1.31052,-1.16573,-1.36204,-2,,,
Srrm1,0,-0.396719,-0.70787,-0.804129,-1.10971,-1.10371,-1.11981,-1.10903,-1.30445,-1.36019,-1.36019,-2,,,
Sf1,0,-0.350327,-0.698654,-0.76866,-0.97159,-1.09461,-1.12123,-1.2603,-1.36014,-1.1833,-1.36014,-2,,,
Pelp1,0,-0.489695,-0.207235,-0.36964,-0.438765,-0.52108,-0.876831,-1.04809,-1.35972,-1.02465,-1.35972,-2,,,
Arl14ep,0,-0.651394,-0.926924,-0.930922,-1.01708,-1.2153,-1.35966,-1.27745,-1.27098,-1.16841,-1.35966,-2,,,
Rplp1,0,-0.351093,-0.548946,-0.691261,-0.588131,-1.20836,-0.891987,-0.865965,-0.971809,-1.35929,-1.35929,-2,,,
Rpl31,0,-0.456985,-0.413401,-0.683966,-0.78157,-1.0799,-1.05343,-1.12477,-1.35879,-1.31376,-1.35879,-2,,,
Szrd1,0,-0.266371,-1.05085,-0.953918,-1.17395,-1.20159,-1.15372,-1.35862,-1.09471,-1.13807,-1.35862,-2,,,
Chd8,0,-0.668976,-0.893181,-0.954473,-1.09406,-1.17506,-1.16595,-1.18757,-1.35837,-1.20819,-1.35837,-2,,,
Snrpd2,0,-0.581564,-0.548431,-0.717674,-1.01147,-0.912088,-0.984797,-1.35812,-1.27339,-1.06005,-1.35812,-2,,,
Thoc5,0,-0.483228,-0.486613,-0.842501,-0.279323,-1.03025,-0.821369,-0.93709,-1.35801,-1.04841,-1.35801,-2,,,
Sh3pxd2b,0,-0.820946,-1.35676,-1.22467,-1.19983,-1.0024,-1.31186,-1.28505,-1.20729,-1.09516,-1.35676,-2,,,
Igf2r,0,-0.142874,-0.446095,-0.942644,-1.171,-1.35607,-1.32423,-1.08216,-1.23104,-1.10171,-1.35607,-2,,,
Cpsf2,0,-1.09319,-0.518393,-0.369401,-0.0967016,-0.813245,-1.35582,-0.89407,-1.25434,-1.32586,-1.35582,-2,,,
Ptbp1,0,-0.359264,-0.564369,-0.77631,-0.813282,-1.00993,-1.28973,-1.27034,-1.3557,-1.32847,-1.3557,-2,,,
Ngrn,0,-0.683742,-0.920017,-1.35446,-0.939457,-0.750211,-0.557449,-0.27434,0.147465,-0.0157423,-1.35446,-2,,,
Ppil4,0,0.0756578,-0.655568,-0.839829,-1.18366,-1.1738,-1.3533,-1.18785,-0.883536,-1.13655,-1.3533,-2,,,
Srgap2,0,-0.146503,-0.465538,-0.799931,-0.883039,-1.11942,-1.002,-0.960835,-1.05554,-1.35279,-1.35279,-2,,,
Trmt1l,0,-0.233889,-0.726995,-0.986563,-0.994514,-1.35271,-0.958361,-1.18328,-1.2394,-1.18317,-1.35271,-2,,,
Eif2s3x,0,-0.335722,-0.581448,-0.688536,-0.894279,-1.09553,-0.98609,-1.00885,-1.20994,-1.35228,-1.35228,-2,,,
Txlna,0,-0.381927,-0.423447,-0.592451,-0.784634,-0.990829,-1.1278,-0.92034,-1.14917,-1.35187,-1.35187,-2,,,
Atic,0,-0.301638,-0.916704,-1.15038,-1.11469,-1.35157,-1.11754,-1.25618,-1.14285,-1.32096,-1.35157,-2,,,
Tcf12,0,-0.567813,-0.99462,-1.07561,-1.12588,-1.05377,-0.993863,-1.27902,-1.35091,-1.25632,-1.35091,-2,,,
Bccip,0,-0.341007,-0.924803,-1.17116,-1.15754,-1.28983,-1.22163,-1.12938,-1.16791,-1.34986,-1.34986,-2,,,
Pign,0,-0.0167103,0.0701847,0.0276814,-0.0684109,-0.21632,-0.602409,-0.754816,-1.34968,-1.01084,-1.34968,-2,,,
Eif2s2,0,-0.156816,-0.586109,-0.830349,-1.10234,-1.23435,-1.20644,-1.26105,-1.14806,-1.34958,-1.34958,-2,,,
Med1,0,-0.740036,-0.926935,-1.16064,-1.14697,-1.10716,-1.2251,-1.22261,-1.32226,-1.34906,-1.34906,-2,,,
Taf9,0,-0.322286,-1.09132,-1.34906,-1.26238,-0.983791,-1.30069,-1.31551,-1.30029,-1.06899,-1.34906,-2,,,
Rtfdc1,0,-0.270147,-0.597265,-0.869785,-1.11768,-0.971045,-0.982384,-1.21984,-1.30675,-1.34831,-1.34831,-2,,,
Snrpe,0,-0.469521,-0.481281,-0.654009,-0.755766,-0.969021,-1.0267,-1.17691,-1.34829,-0.853029,-1.34829,-2,,,
Rnps1,0,-0.539837,-0.546188,-0.514198,-0.340982,-1.10555,-1.14435,-1.11238,-1.30406,-1.34821,-1.34821,-2,,,
Bmp1,0,0.169891,0.650822,0.20167,-0.054966,-0.470488,-0.981828,-0.978578,-1.34611,-1.26271,-1.34611,-2,,,
Ahsa1,0,-0.46133,-1.04593,-1.03748,-1.20066,-1.34606,-1.22493,-1.11403,-1.13221,-1.22007,-1.34606,-2,,,
Fasn,0,0.108412,-0.134201,-0.494787,-0.817482,-1.34544,-1.03074,-0.840437,-1.05513,-1.23212,-1.34544,-2,,,
Ift27,0,-0.305651,-0.603567,-0.817802,-0.631311,-0.863993,-0.964577,-1.06411,-1.34544,-1.1296,-1.34544,-2,,,
Lrriq1,0,-0.422941,-0.891928,-1.04043,-1.34541,-1.05851,-1.1072,-1.1231,-1.30333,-1.2535,-1.34541,-2,,,
Galk1,0,-0.137594,-0.692629,-0.775154,-0.744705,-0.79196,-0.727224,-1.11584,-1.15935,-1.34479,-1.34479,-2,,,
Naa25,0,-0.387178,-0.982925,-1.24505,-1.1202,-1.28801,-1.00521,-0.925606,-0.927223,-1.34444,-1.34444,-2,,,
Rpl12,0,-0.327215,-0.838552,-0.817949,-1.07594,-1.23588,-1.18516,-1.08668,-1.21494,-1.3436,-1.3436,-2,,,
Dnajc16,0,-0.185432,-0.520586,-0.864977,-1.17834,-1.21238,-0.978975,-1.16962,-1.27567,-1.34359,-1.34359,-2,,,
Dhdds,0,-0.0273962,-0.137355,-0.372186,-0.627536,-1.14713,-1.06003,-1.1333,-1.21204,-1.3434,-1.3434,-2,,,
Stag2,0,-0.620852,-0.924421,-1.15306,-1.23665,-1.34068,-1.22983,-1.28734,-1.21886,-1.15693,-1.34068,-2,,,
Klhdc4,0,-0.306858,-0.214458,-0.722515,-0.698521,-1.32173,-0.852795,-0.952995,-1.11509,-1.33963,-1.33963,-2,,,
Kdm1a,0,-0.372622,-0.646158,-0.811872,-0.963634,-1.06981,-1.11159,-1.17183,-1.33908,-1.13861,-1.33908,-2,,,
Hypk,0,-0.279432,-0.594309,-0.687614,-0.975878,-1.09093,-1.21748,-1.33716,-1.30082,-1.20644,-1.33716,-2,,,
Cuedc2,0,0.0182638,-1.14797,-1.01882,-1.25771,-0.895577,-0.781864,-1.33692,-0.461593,-0.813211,-1.33692,-2,,,
Exosc3,0,-0.555222,-0.480177,-0.680378,-0.782021,-0.601021,-0.775925,-1.33674,-0.937273,-0.696301,-1.33674,-2,,,
Hnrnpm,0,-0.527504,-0.626461,-0.817739,-0.819357,-0.812511,-0.982803,-1.33611,-1.28969,-1.20557,-1.33611,-2,,,
Tbca,0,-0.255957,-0.326708,-0.665464,-0.854607,-1.06386,-1.0183,-0.937975,-1.22223,-1.336,-1.336,-2,,,
Prpf4b,0,-0.164011,-0.804298,-0.864738,-0.0501785,-1.33594,-0.413486,-0.903328,-0.768438,-0.794268,-1.33594,-2,,,
Prkcb,0,-0.523962,-0.785543,-0.787153,-1.04249,-1.07931,-1.05178,-1.05816,-1.11844,-1.33421,-1.33421,-2,,,
U2af2,0,-0.457514,-0.910831,-0.983564,-1.09691,-1.21827,-1.12579,-1.24222,-1.33383,-1.28044,-1.33383,-2,,,
Kars,0,-0.491486,-0.623726,-0.913742,-1.05149,-1.28477,-1.184,-1.14903,-1.33365,-1.22005,-1.33365,-2,,,
Smg8,0,-0.476974,-0.71916,-0.773309,-0.993099,-0.745111,-1.26099,-1.33254,-0.997522,-1.23244,-1.33254,-2,,,
Wdr12,0,-0.080327,-1.24613,-1.15934,-1.22977,-1.33254,-0.936676,-1.20185,-0.779513,-1.29386,-1.33254,-2,,,
Taf12,0,-0.370567,-0.874531,-0.806005,-1.15322,-1.05092,-1.15984,-1.03153,-1.08987,-1.33235,-1.33235,-2,,,
Ruvbl2,0,-0.426056,-0.847324,-1.03033,-1.11098,-1.32015,-1.28084,-1.33164,-1.31602,-1.27518,-1.33164,-2,,,
Smc1a,0,-0.491056,-0.967487,-1.08272,-1.23468,-1.16924,-1.25106,-1.33113,-1.18847,-1.11428,-1.33113,-2,,,
Gars,0,-0.238428,-0.594824,-0.796297,-1.03945,-1.33097,-1.18569,-1.24827,-1.21393,-1.22366,-1.33097,-2,,,
Psma7,0,-0.0558853,-0.694572,-0.796158,-1.08225,-1.14403,-1.01473,-0.973598,-1.04551,-1.32987,-1.32987,-2,,,
Ruvbl1,0,-0.308121,-0.570204,-0.83098,-0.962482,-1.18978,-1.14413,-1.23464,-1.32963,-1.19033,-1.32963,-2,,,
Eif4g1,0,-0.289932,-0.415689,-0.788691,-0.781799,-1.23858,-1.00439,-0.917761,-1.01944,-1.32949,-1.32949,-2,,,
Chst12,0,-0.477835,-0.0254583,-0.332453,-0.620806,-0.822681,-0.989838,-0.901039,-1.22433,-1.32912,-1.32912,-2,,,
Fnbp4,0,-0.393635,-0.823812,-1.07891,-0.908842,-1.32509,-1.32862,-1.17758,-1.29799,-1.27389,-1.32862,-2,,,
Ubqln2,0,-0.283865,-0.826679,-0.990795,-1.32846,-1.2559,-1.14763,-1.3073,-1.24767,-1.24571,-1.32846,-2,,,
Hnrnpdl,0,-0.420471,-0.51475,-0.43404,-0.166689,-0.935566,-1.04334,-1.05534,-0.90144,-1.32797,-1.32797,-2,,,
Rnf20,0,-0.498678,-0.939955,-0.996078,-1.16582,-1.17231,-1.04532,-1.32758,-1.28835,-1.11054,-1.32758,-2,,,
Smek1,0,-0.40807,-0.755476,-0.845224,-0.937515,-1.12793,-1.15716,-1.32734,-1.25452,-1.1554,-1.32734,-2,,,
Sec61g,0,-0.403223,-0.187269,-0.555716,-0.603409,-0.799417,-0.729389,-0.869255,-1.21854,-1.32613,-1.32613,-2,,,
U2surp,0,-0.539953,-0.548454,-0.971552,-0.928593,-0.966513,-1.14034,-1.02577,-1.26855,-1.32556,-1.32556,-2,,,
Rpl24,0,-0.259037,-0.635397,-0.771439,-0.994741,-1.13542,-1.02566,-0.981478,-1.15782,-1.32514,-1.32514,-2,,,
Edf1,0,-0.351492,-0.514875,-0.920135,-0.781048,-1.2415,-1.10323,-1.2281,-1.32497,-1.26366,-1.32497,-2,,,
Rps10,0,-0.389252,-0.629158,-0.81946,-0.815151,-1.01636,-0.968266,-0.964409,-1.05674,-1.32307,-1.32307,-2,,,
Pum2,0,-0.343424,-0.938583,-1.31479,-1.17859,-1.32298,-1.15595,-1.15347,-1.03587,-1.10421,-1.32298,-2,,,
Slc9a3r1,0,0.0341759,0.121481,0.0433426,-0.191122,-0.202051,-0.77569,-0.902769,-1.29886,-1.32272,-1.32272,-2,,,
Rps4x,0,-0.226847,-0.647043,-0.771145,-0.880377,-1.05472,-1.01569,-1.13473,-1.13698,-1.32207,-1.32207,-2,,,
Birc6,0,-0.0523663,-0.367485,-0.799686,-0.694746,-1.14492,-0.907932,-0.886635,-1.02484,-1.32156,-1.32156,-2,,,
Ascc1,0,-0.070591,-0.193803,-0.811803,-0.665089,-1.09711,-1.30731,-1.10702,-0.702458,-1.32145,-1.32145,-2,,,
Zmym4,0,-0.374264,-0.538221,-0.292233,-0.81888,-0.96104,-0.788502,-1.06753,-1.32089,-1.29761,-1.32089,-2,,,
Nudt21,0,-0.523956,-0.82621,-0.85293,-1.06382,-0.993759,-1.07061,-1.24504,-1.32051,-1.11106,-1.32051,-2,,,
Rab3ip,0,0.666532,0.374064,-0.376372,-0.0777206,-1.32043,-0.538803,-0.571895,0.112466,-0.0160246,-1.32043,-2,,,
Tcof1,0,-1.09075,-0.787716,-0.877272,-0.918703,-0.805471,-0.989134,-0.927597,-1.31817,-0.929094,-1.31817,-2,,,
Cntfr,0,1.21251,0.407824,0.131647,0.0441256,0.0468512,-1.31708,-0.264445,0.0321846,-0.501417,-1.31708,-2,,,
Uggt1,0,-0.0507298,-0.224228,-0.354702,-0.612869,-0.83251,-1.04801,-1.10347,-1.18052,-1.31604,-1.31604,-2,,,
Grsf1,0,-0.127396,-0.553974,-0.774715,-0.783987,-1.07463,-1.11061,-1.31533,-0.783674,-0.810122,-1.31533,-2,,,
Rps9,0,-0.357441,-0.571478,-0.729952,-0.773113,-1.09575,-1.05051,-1.14287,-1.20554,-1.31513,-1.31513,-2,,,
Ccdc43,0,-0.385595,-0.72953,-1.00082,-1.17441,-1.18252,-1.23478,-1.29597,-1.31432,-1.304,-1.31432,-2,,,
Rad50,0,-0.647305,-0.969162,-0.947922,-1.07743,-1.05421,-1.15363,-1.18212,-1.31374,-1.10325,-1.31374,-2,,,
Ubfd1,0,-0.329309,0.0194511,-0.13278,-0.232481,-0.639278,-0.664724,-0.707623,-1.31234,-0.723434,-1.31234,-2,,,
Eif3g,0,-0.401094,-0.501537,-0.703791,-0.858782,-0.973173,-0.995247,-0.800905,-0.989485,-1.31174,-1.31174,-2,,,
Pcnp,0,-0.399435,-0.682613,-0.782797,-1.16917,-1.02364,-1.15033,-1.07329,-1.16256,-1.3114,-1.3114,-2,,,
Aatf,0,-0.582141,-1.23463,-1.1203,-1.01865,-1.12472,-1.11829,-1.31116,-1.12635,-1.22894,-1.31116,-2,,,
Rbmxl1;Rbmx,0,-0.570753,-0.445517,-0.474054,-0.183542,-0.711664,-0.755163,-0.987391,-1.31067,-0.906242,-1.31067,-2,,,
Ascc2,0,-0.122925,-0.482807,-0.76302,-0.788725,-1.30951,-1.1543,-1.20405,-1.25497,-1.28625,-1.30951,-2,,,
Dzip3,0,0.0122328,-0.975082,-1.14612,-0.789834,-1.23154,-1.12652,-1.18448,-1.30917,-1.18619,-1.30917,-2,,,
Ptpn2,0,-0.221155,-0.459099,-0.854643,-0.716673,-0.9883,-0.908712,-1.12036,-1.30893,-1.18815,-1.30893,-2,,,
Ambra1,0,0.0600729,-0.10471,-0.445,-0.596842,-1.07198,-1.30891,-0.856542,-0.622861,-1.19543,-1.30891,-2,,,
Recql,0,-0.552862,-1.10053,-0.864462,-0.997801,-1.06045,-1.30727,-1.00349,-1.12281,-1.18914,-1.30727,-2,,,
Sgk223,0,-0.367725,-1.26067,-1.30669,-1.08054,-0.911835,-0.676481,-0.544827,-0.374935,-1.14484,-1.30669,-2,,,
Rpl26,0,-0.332706,-0.521029,-0.74386,-0.824099,-0.970467,-1.05106,-1.08624,-1.30659,-1.27769,-1.30659,-2,,,
Mapkapk2,0,-0.339045,-0.623198,-0.832468,-0.994385,-1.19952,-1.11933,-1.10918,-1.18722,-1.30655,-1.30655,-2,,,
Srsf10,0,-0.324385,-0.731369,-0.432169,0.0248108,-1.08826,-1.01996,-1.30365,-0.95619,-0.801292,-1.30365,-2,,,
Ampd3,0,-0.363134,-0.574369,-0.590153,-0.608773,-0.674268,-1.30354,-0.359662,-0.709655,-1.2353,-1.30354,-2,,,
H2afy,0,0.381556,-1.05917,-1.30311,-1.11479,-0.992725,-0.0418129,-0.26749,0.0573502,0.231037,-1.30311,-2,,,
Sugt1,0,-0.199387,-0.710871,-1.03525,-1.08957,-1.30297,-1.02131,-0.820856,-0.960218,-1.21305,-1.30297,-2,,,
Eif3b,0,-0.296144,-0.705328,-0.773174,-0.881874,-1.0734,-1.03049,-1.04926,-1.11692,-1.30205,-1.30205,-2,,,
Srebf1,0,-1.30161,-0.100443,0.0801268,0.00230503,-0.157295,0.110948,0.211118,-0.41146,-0.369906,-1.30161,-2,,,
Larp4,0,-0.494658,-0.927124,-1.2742,-1.08352,-1.25647,-1.12963,-0.851616,-0.89304,-1.30127,-1.30127,-2,,,
Pde10a,0,0.0374279,-0.158284,-0.424238,-0.567249,-0.848041,-0.81064,-1.30099,-1.22968,-0.811728,-1.30099,-2,,,
Bud31,0,-0.473917,-0.731146,-0.689816,-0.920559,-0.932043,-0.861412,-0.705343,-1.02247,-1.30036,-1.30036,-2,,,
Dis3l2,0,0.0156975,0.0192127,-0.302092,-0.498285,-0.999006,-1.09382,-1.15783,-1.30021,-1.27753,-1.30021,-2,,,
Rps15,0,-0.385967,-0.48077,-0.497351,-0.752716,-0.909286,-1.05844,-0.925158,-1.29977,-1.15079,-1.29977,-2,,,
Ugdh,0,0.869316,0.759417,0.224504,-0.161243,-0.795996,-0.867056,-0.736998,-1.00795,-1.29845,-1.29845,-2,,,
Epb41,0,0.03298,-0.948208,-0.947649,-1.04852,-0.950939,-1.29708,-0.982868,-0.981102,-1.00907,-1.29708,-2,,,
Bcl10,0,-0.214428,-0.657549,-0.977081,-0.870737,-1.20971,-1.14813,-1.29655,-1.1343,-1.28216,-1.29655,-2,,,
Gtf2i,0,-0.702635,-1.09113,-0.971186,-1.11233,-0.930365,-1.18497,-1.29642,-1.29245,-1.10364,-1.29642,-2,,,
Prrc2b,0,-0.57238,-0.885485,-1.25619,-0.907999,-1.29623,-0.947689,-0.572235,-0.8804,-1.25789,-1.29623,-2,,,
Eif3l,0,-0.309006,-0.576258,-0.734455,-0.821312,-1.03343,-0.945944,-0.819664,-0.892773,-1.29523,-1.29523,-2,,,
Mau2,0,0.296491,0.633533,0.182032,0.513818,-0.368007,-0.674725,-0.864231,-1.29502,0.206616,-1.29502,-2,,,
Galnt4,0,-0.0240459,0.0108643,-0.297729,-0.274422,-0.79681,-0.933043,-0.976824,-1.24575,-1.29482,-1.29482,-2,,,
Pus1,0,-0.43351,-1.0075,-1.05502,-1.14432,-1.07011,-1.14709,-1.29482,-0.798641,-1.03569,-1.29482,-2,,,
Srek1,0,-0.34907,-0.876249,-1.03706,-1.06255,-1.17922,-1.29418,-1.13782,-1.09469,-1.2119,-1.29418,-2,,,
Tdg,0,0.329634,-0.0728321,-0.316929,-0.501303,-0.834135,-0.792706,-0.841852,-1.10433,-1.29341,-1.29341,-2,,,
Mcmbp,0,-1.04602,-1.12444,-1.26758,-1.18637,-1.21808,-1.29267,-1.03786,-1.02697,-1.1213,-1.29267,-2,,,
Rps25,0,-0.408642,-0.541525,-0.827208,-0.752966,-1.05192,-0.889675,-0.924486,-1.18645,-1.29257,-1.29257,-2,,,
Pef1,0,-0.0952034,-0.275715,-0.320318,-0.290367,-0.573755,-0.371162,-0.476965,-0.462831,-1.29242,-1.29242,-2,,,
Rpl10;Rpl10l,0,-0.153023,-0.553329,-0.85733,-0.772779,-1.03186,-0.909178,-1.29029,-1.18601,-1.15666,-1.29029,-2,,,
Dhps,0,-0.414013,-0.656279,-0.957451,-1.19972,-1.08679,-1.18031,-1.20656,-1.28839,-1.01774,-1.28839,-2,,,
Gtpbp4,0,-0.843018,-1.20036,-1.2878,-1.06343,-1.01699,-0.990629,-0.697111,-0.678202,-0.471281,-1.2878,-2,,,
Rpe,0,-1.02419,-0.585346,-0.400089,-0.604198,-0.933107,-1.28761,-1.11657,-1.07921,-0.716106,-1.28761,-2,,,
Eif3h,0,-0.203314,-0.656288,-0.705738,-0.816948,-1.10398,-1.20891,-1.28741,-1.10359,-1.14987,-1.28741,-2,,,
Taf5l,0,-0.471684,-0.985768,-1.11198,-1.19142,-0.981899,-1.26938,-1.26376,-1.28723,-1.15872,-1.28723,-2,,,
Psma4,0,-0.0759964,-0.621771,-0.607697,-0.884333,-1.00694,-0.943668,-0.918026,-1.07007,-1.28642,-1.28642,-2,,,
Ube2k,0,0.00274086,-0.503542,-0.62109,-0.759159,-0.748573,-0.864958,0.343775,-0.159229,-1.28539,-1.28539,-2,,,
Rrp1,0,-1.28526,-0.302006,-0.517061,-0.576502,-0.954489,-0.82279,-0.497011,-0.991817,-0.429945,-1.28526,-2,,,
Prpf31,0,-0.574743,-1.18831,-1.14102,-1.09664,-1.16194,-1.17057,-1.22896,-1.15312,-1.28485,-1.28485,-2,,,
Sec61b,0,-0.0200005,-0.242102,-0.322884,-0.54134,-0.664555,-0.536047,-0.707182,-0.770138,-1.28439,-1.28439,-2,,,
Ints10,0,-0.320754,-0.966045,-0.775193,-0.93111,-1.28437,-0.726231,-1.07081,-1.23535,-1.0723,-1.28437,-2,,,
Hgh1,0,-0.573309,-0.694063,-0.906874,-1.13508,-1.28428,-1.0424,-1.19313,-1.16967,-1.14384,-1.28428,-2,,,
Eif4g2,0,-0.485676,-0.553461,-0.736492,-0.895044,-1.07535,-1.1316,-1.11334,-1.27301,-1.28403,-1.28403,-2,,,
Amph,0,-0.545925,-1.04733,-0.898598,-1.05899,-1.11069,-0.96558,-0.964735,-1.17229,-1.284,-1.284,-2,,,
C15orf40,0,-0.163698,-0.545927,-0.692629,-0.786476,-0.940509,-1.28348,-0.887575,-1.04778,-1.23331,-1.28348,-2,,,
Aplp2,0,-0.45812,-0.755627,-0.856588,-1.13309,-1.06598,-0.762476,-0.53039,-0.44453,-1.28294,-1.28294,-2,,,
Pfdn2,0,-0.261765,-0.501684,-0.687279,-0.924471,-1.10202,-0.903374,-0.806362,-0.831329,-1.28233,-1.28233,-2,,,
