Gene names,Day_00,Day_01,Day_02,Day_03,Day_05,Day_07,Day_10,Day_14,Day_18,Day_21,Max intensity change,Category,,Category,Count
Smc4,0,-0.546806,-1.88634,-2.57412,-3.41487,-4.0164,-3.93489,-3.99784,-3.93424,-4.27398,-4.27398,-4,,,
Camkk2,0,-0.867855,-1.88686,-2.35679,-2.99421,-3.66915,-3.25398,-3.48299,-3.67566,-4.24914,-4.24914,-4,,,
Rpl22l1,0,-0.532892,-0.626926,-1.25811,-1.47893,-2.49597,-2.54207,-2.96663,-3.66851,-4.24881,-4.24881,-4,,,
Nrm,0,-0.993513,-2.30575,-1.83707,-2.38752,-3.45565,-3.23307,-4.1559,-3.14238,-3.39884,-4.1559,-4,,,
Tmem173,0,-0.774698,-1.67227,-2.23269,-3.29307,-4.11881,-3.45215,-3.83574,-4.10128,-4.13511,-4.13511,-4,,,
Wdr55,0,-0.730365,-1.70969,-1.95181,-3.14228,-2.64824,-2.75057,-4.12314,-2.87754,-3.22649,-4.12314,-4,,,
Ccnd2,0,-0.931421,-0.622923,-1.07114,-1.19942,-3.81236,-2.05424,-1.94631,-2.1575,-4.08651,-4.08651,-4,,,
Faah,0,-0.683084,-1.7846,-1.96432,-2.82333,-3.19565,-3.43946,-3.49861,-4.04067,-3.47678,-4.04067,-4,,,
Hk2,0,-0.469809,-1.18844,-1.64299,-2.09505,-2.70385,-3.33662,-3.23188,-3.95692,-3.31639,-3.95692,-3,,,
Pwp1,0,-1.32733,-2.5658,-2.54085,-2.60623,-2.98666,-3.20898,-3.9385,-3.11105,-2.20524,-3.9385,-3,,,
Spty2d1,0,-1.35852,-2.48321,-3.25535,-3.24664,-3.7174,-3.88915,-3.33078,-3.32585,-3.81633,-3.88915,-3,,,
Cdk2,0,-1.0891,-2.11721,-2.43336,-2.90803,-3.57322,-3.47696,-3.8752,-3.77091,-3.61181,-3.8752,-3,,,
Dctpp1,0,0.0553637,-1.44531,-2.47804,-2.19551,-2.62289,-2.34992,-2.7465,-2.52824,-3.85371,-3.85371,-3,,,
Haus8,0,-0.846062,-1.65485,-1.815,-2.51073,-2.7716,-3.268,-3.83396,-3.12636,-3.60013,-3.83396,-3,,,
Ca3,0,-0.393566,-0.606564,-1.094,-1.38408,-2.2035,-2.93898,-3.31819,-3.81378,-3.77404,-3.81378,-3,,,
Mthfd2,0,-0.527126,-1.95606,-3.15991,-3.17715,-3.76699,-3.44331,-2.86134,-2.31969,-2.14504,-3.76699,-3,,,
Clic5,0,-1.22422,-2.27044,-2.72659,-3.40878,-3.35844,-3.59465,-3.76441,-3.43769,-3.43123,-3.76441,-3,,,
Haus3,0,-1.01826,-1.8861,-2.40491,-2.67537,-3.07394,-3.61532,-3.74691,-3.26155,-3.74307,-3.74691,-3,,,
Fdps,0,0.402285,-0.54184,-1.53783,-2.239,-3.51752,-3.183,-2.92129,-3.02865,-3.72683,-3.72683,-3,,,
Ncapd3,0,-0.623446,-2.54527,-2.81132,-3.60802,-2.55764,-3.02267,-3.15987,-2.28377,-3.71886,-3.71886,-3,,,
Cnn2,0,0.606991,-0.889694,-1.48016,-2.06252,-3.69147,-3.71543,-2.86229,-1.96856,-2.10264,-3.71543,-3,,,
Trim16,0,-0.723956,-1.7381,-2.46591,-3.26208,-3.64785,-3.14626,-3.25405,-3.66017,-3.08994,-3.66017,-3,,,
