"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","gene_name","status"
3205.75568566588,4.46947642034733,0.11903317915647,0,0,"FBgn0014863","Mlp84B","up_regulated"
7420.1696384621,4.8087687605119,0.092392043773427,0,0,"FBgn0035917","Zasp66","up_regulated"
20053.4007755935,6.77942332010493,0.170064405314895,0,0,"FBgn0011828","Pxn","up_regulated"
15208.5963868035,5.17546568563228,0.13833826094596,1.61318817736167e-306,3.01343551531159e-303,"FBgn0004117","Tm2","up_regulated"
3323.34887723604,4.58858996232389,0.122881747106469,3.01263709952079e-305,4.82366237306129e-302,"FBgn0034638","CG10433","up_regulated"
15473.5608020036,4.83224813908821,0.131088734823084,1.37967339374848e-298,1.93292242464162e-295,"FBgn0283471","wupA","up_regulated"
11504.051062429,4.38316128176523,0.124739029181943,2.24116740161094e-271,2.79100047080615e-268,"FBgn0003149","Prm","up_regulated"
32519.3404244772,5.2411300124549,0.149333657143988,3.01554625783205e-270,3.37982424577816e-267,"FBgn0002773","Mlc2","up_regulated"
11617.5134386876,4.30503160538656,0.12879748302066,1.44095597447479e-246,1.46820314199213e-243,"FBgn0038294","Mf","up_regulated"
22057.6482848988,4.96370204184477,0.148077963901697,2.01102296148528e-246,1.87829544602726e-243,"FBgn0004169","up","up_regulated"
1397.20852399318,4.76898284970788,0.142188212377196,3.84952234396018e-246,3.31888049470044e-243,"FBgn0034920","CG5597","up_regulated"
5533.91919224488,3.31059534731587,0.0990475192665739,1.08705031893809e-245,8.70261426761296e-243,"FBgn0261565","Lmpt","up_regulated"
11645.4505857948,4.01145673584003,0.125623216399388,1.46478782733974e-223,1.09448946458825e-220,"FBgn0002789","Mp20","up_regulated"
10124.0555706811,5.10801193488036,0.161430154354633,1.23023812206474e-219,8.61781804506351e-217,"FBgn0010424","TpnC73F","up_regulated"
776.352243819061,5.86672554497111,0.186365872845244,2.90432810508853e-219,1.9148064354019e-216,"FBgn0030304","Cyp4g15","up_regulated"
5347.53421881363,3.75448157575845,0.12159020970389,1.54107853343185e-209,9.59578233483563e-207,"FBgn0026061","Mipp1","up_regulated"
2150.57320937112,5.69791127668432,0.186817226149831,1.87218125763402e-206,1.10438987029274e-203,"FBgn0031313","CG5080","up_regulated"
1340.14853120811,5.65082889250519,0.184944426480418,1.71236598591033e-205,9.59609898504146e-203,"FBgn0036742","CG7497","up_regulated"
881.638744700674,4.55832921745106,0.154603621950137,2.56548147212192e-192,1.36923411140678e-189,"FBgn0050076","CG30076","up_regulated"
11008.4137786554,5.09518628431805,0.175670313515864,2.06451143271334e-185,1.05177473353869e-182,"FBgn0002772","Mlc1","up_regulated"
2485.95223163794,6.34211054757493,0.221294199612411,1.30439168756632e-182,6.35635740619274e-180,"FBgn0040732","CG16926","up_regulated"
5699.09918528732,4.69826561912643,0.163366032829047,6.00574370293399e-182,2.80468230927017e-179,"FBgn0026562","SPARC","up_regulated"
2588.57279064492,4.99805496673237,0.175842636613643,1.63020995612613e-178,7.30855727530465e-176,"FBgn0050026","CG30026","up_regulated"
1255.56694404026,4.8482609253634,0.171217485080246,3.96273573459943e-177,1.70824392743809e-174,"FBgn0035427","ckd","up_regulated"
3012.55935293796,4.40222966022979,0.156869795754584,9.69525890937695e-174,4.02460969838136e-171,"FBgn0033919","CG8547","up_regulated"
2706.34183565134,4.71965763100949,0.167976194846709,2.79020066650643e-173,1.116877466793e-170,"FBgn0037447","Neurochondrin","up_regulated"
3720.22610038347,4.95286348608679,0.17791359774834,2.19916041959736e-171,8.49937585615419e-169,"FBgn0039897","CG1674","up_regulated"
2196.20923194914,6.71700006078993,0.242597542672708,1.89341318110796e-168,6.84560481737354e-166,"FBgn0027586","CG5867","up_regulated"
4270.62848123321,4.79206334375873,0.173581271476281,1.96029549272176e-167,6.86593496325795e-165,"FBgn0266446","CG45076","up_regulated"
91432.7181905029,5.27460227614107,0.191804078235284,5.94402591273238e-167,2.01880734636074e-164,"FBgn0000044","Act57B","up_regulated"
983.84082038659,4.71534050636956,0.174495000877557,7.04432165340062e-162,2.32213991445042e-159,"FBgn0051374","sals","up_regulated"
736.926581197656,5.36361628996135,0.199057252064853,1.68836477181298e-160,5.40662638927997e-158,"FBgn0031327","CG5397","up_regulated"
2682.59910276831,6.4451581723461,0.242828740462503,3.84808889258688e-157,1.19803834189205e-154,"FBgn0260228","CG42502","up_regulated"
1755.07227842311,3.87891812874287,0.146231240354268,1.28049610547727e-156,3.87886495951061e-154,"FBgn0037513","pyd3","up_regulated"
1636.64063064721,5.31382998793471,0.201652433225227,1.94533433658166e-152,5.59059160113006e-150,"FBgn0035490","CG1136","up_regulated"
