"frame","x [nm]","y [nm]","z [nm]","sigma1 [nm]","sigma2 [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]","detections"
1201.0,30154.303401911955,47959.154962401364,-81.91800469648084,269.64447768803166,209.184010497565,192.82923776096567,4.6984086902321796,1.9471312118936333,5660.47687788771,29.605588488155743,1.0
1280.0,29066.488724824,49882.6061852862,-255.23597371016015,355.241702227096,184.5413144244225,194.63222813940044,4.134733190673178,1.5073828827151858,3590.4526565932038,30.128591356205938,1.0
1281.0,29035.544748943797,49842.38871223207,-92.3139474105284,273.9801605461236,207.06049997362362,103.75563562838592,4.002366551404542,1.5162150549062463,3750.9587734049487,41.32482666633487,1.0
1291.0,29047.009414897344,49907.09182254049,-139.81669015087815,295.0882339509904,198.40544724911794,156.88612728406426,3.9998805726131383,1.4149194040230422,3889.9607956669915,31.647004300668392,1.0
1292.0,29018.430168759794,49914.401628641994,-205.7872750732997,328.69705820374963,189.85613670549606,881.8016999794487,4.023111793343783,5.274159651083569,NaN,16.249533465077505,3.0
1306.0,29067.427502888866,49875.335110848435,-223.75082477661448,338.24859147856,187.85143092960067,746.0301941428156,4.233283322495868,3.4999530745849343,NaN,15.810939392554888,2.0
1308.0,29090.285905666035,49833.32595796769,-245.34155346463146,349.5926905492828,185.33197269566907,266.7189423615612,4.156075982751717,1.4357703534443462,2861.71121952846,24.485174225196495,1.0
1323.0,29414.209385207727,46068.09112765181,234.65012952700283,187.37575465508365,314.05923496104526,393.9103543659602,4.833017977859872,3.4644596948748596,NaN,23.134530631154526,2.0
1341.0,30612.093092034516,51149.396181051554,101.4643490444001,209.9190912918988,260.18311130667837,179.97575569466179,4.133410187720836,1.5438166030040639,3804.631419653028,28.445354361578726,1.0
1352.0,29476.857807657445,48623.89714244631,-3.003871987593964,240.05601086076987,227.9888513341356,259.98185178133366,4.427481246697615,1.914408000393386,5036.161036156617,23.874716621571128,1.0
1353.0,29331.2316140908,49515.195244696566,-252.65748339157068,354.121709003457,185.03194554474487,639.2950297947907,4.749674229878643,4.473386575432133,NaN,19.735298362849864,2.0
1355.0,29381.07571338423,49525.1838155849,-272.62757777378107,365.3948256027377,183.3323861387625,351.9826434473796,4.41672801205325,1.9067217242566032,4998.085880362481,22.377282936842732,1.0
1356.0,29272.380658188653,49523.87941683954,-267.0174117929756,362.088476828105,183.69717520433454,208.1675301602701,3.8485133652197216,1.5329464093577012,3852.7563290037356,29.2739624109245,1.0
1361.0,26553.05187684964,48409.048672089295,175.88578564831113,194.7273062355951,288.19077127293843,203.4614398490198,4.338628805915484,1.442300031351866,3495.978056541399,26.450653389241264,1.0
1364.0,28980.479104995156,49875.88903959248,-103.89512318812797,278.93015911174945,204.79187482480594,411.9540244107481,5.555898051453385,3.4624637223105545,11455.899245189295,21.940016602006935,1.0
1365.0,29330.951315362978,49053.90994711524,-195.51850548603988,322.5501397812655,190.4470475923781,257.1684784664491,6.177145300534616,5.339181054886581,16027.347036526564,43.41886460894352,1.0
1365.0,28966.6060957082,49902.80200625687,-128.3122632398776,289.7851569324002,200.34718531913046,681.3908816049761,4.974527613514961,7.766082356349304,NaN,23.458965705522708,2.0
1367.0,28958.701183825036,49859.192578086455,-103.00391993871223,278.54475113776573,204.96282151712072,339.28093445709015,4.799302228518951,1.9505282525327308,5304.2304936196815,20.888205184914753,1.0
