"logFC","logCPM","LR","PValue","FDR","Gene"
-9.51325844363738,4.96245559215451,69.6594155928365,7.04814857804558e-17,9.93366060589744e-13,"Pif1B"
-12.268470794372,4.90312769493117,57.9119211440785,2.74120845395506e-14,1.93172959750213e-10,"CR41454"
-22.6728280727758,2.79495456969994,39.3255749801446,3.58712004341509e-10,1.68522899639641e-06,"CG40439"
-3.82133758080639,3.98025162604314,34.9332802924621,3.41198743634878e-09,1.20221377319749e-05,"CG12592"
9.67647400268071,4.2647181908626,30.9307155747595,2.67405967950039e-08,7.53763942457571e-05,"Sdic2"
-9.58862062011083,2.825208867996,28.3666933237835,1.0037748955769e-07,0.000235786722971014,"pre-mod(mdg4)-W"
21.7862089042992,2.69955643981841,27.7654411769232,1.36950746441956e-07,0.000275740545764704,"IMPPP"
-5.96854915869165,5.07729406032869,26.2797629796749,2.95367529781748e-07,0.000520363745592994,"CR41597"
-10.5173646803593,5.82919997057644,24.4271814835607,7.71721469647251e-07,0.00120851582146759,"CG15599"
-3.50553634126642,4.86946603300107,21.8589185284594,2.9344950721479e-06,0.00413587735468526,"CG45086"
5.20646540812382,5.01503515758023,21.223402191843,4.0874317781443e-06,0.00523711486192416,"Hsp70Bbb"
-4.8724403038739,5.46197003887227,19.742931652444,8.85887282468421e-06,0.0104047461325916,"bru3"
1.64379741325555,6.20488816469003,18.9962597604039,1.30974939066612e-05,0.0138987012742536,"BEAF-32"
-2.64332607198997,6.91019449246021,18.8478806814444,1.41568306264519e-05,0.0138987012742536,"bt"
-2.67650063098201,5.87821087847836,18.7641532624253,1.47921469500357e-05,0.0138987012742536,"CG30069"
-8.44505937575892,1.33014531325604,18.1578231113643,2.03332413918226e-05,0.0179110440110218,"CR43212"
-16.0228180919554,6.58840242015952,17.8409871870398,2.40154036654448e-05,0.0199101823094576,"CR43482"
-11.0260040979029,8.18177355369241,17.3764447156161,3.06602297413551e-05,0.0239068975265287,"mt:ND1"
-7.93764662041875,11.543724283951,17.2816343081229,3.22286826311938e-05,0.0239068975265287,"mt:CoI"
-2.61666033523284,6.27282631360301,16.8254258488313,4.0980544014107e-05,0.0288789893667412,"gnu"
13.3349355145316,6.80386147745928,16.3382297688485,5.29842090804967e-05,0.0335995319456631,"BicC"
11.7103116552993,4.23369884803664,16.3249434872524,5.33569793416627e-05,0.0335995319456631,"His4:CG33871"
-12.8436427837971,8.47283597637904,16.273302450487,5.48310795196715e-05,0.0335995319456631,"mt:ND4"
-6.73971491563281,3.83968203515495,16.1834700043102,5.74936293921061e-05,0.0337631338605143,"CG42518"
-5.21145794915938,-0.219451776581334,16.0300128194301,6.23462906825869e-05,0.0351483448352152,"CG6765"
-3.02900492658498,5.03774592851499,15.9513815589216,6.49903282728251e-05,0.0352297571798922,"Adhr"
-6.06366573069866,1.45036721440265,15.6732745790393,7.5280412095109e-05,0.0374534322026784,"janB"
-12.2472162634363,2.45652102804846,15.6292967388707,7.70515216653777e-05,0.0374534322026784,"mt:ND2"
-2.62342321122099,4.59244221254596,15.6289739435216,7.70646753141531e-05,0.0374534322026784,"tal-AA"
-1.89804731248455,8.13371445213347,15.3164728095634,9.09202139315493e-05,0.0426485395798064,"aqz"
-5.90834902826884,9.54018519444199,15.2574460025508,9.38062102294593e-05,0.0426485395798064,"fmt"
-1.95123085672217,7.0111349769614,14.9530370480759,0.000110220505981115,0.0485452441030574,"mamo"
1.44861929269644,6.36318167606755,14.6791700304988,0.000127446983090684,0.0544175000501296,"Rop"
1.45672150169004,6.5045170126081,14.6233858082166,0.000131275365524649,0.0544175000501296,"Tl"
-9.81386335712069,2.77339643891639,14.2711592355626,0.00015827144618075,0.0611116025535471,"CR43483"
