NAME	TITLE	SCORE	
Lratd1		2.3052928	
Plek		2.3029945	
S100a14		2.3010964	
Lyz1		2.300752	
Trbc2		2.297373	
Chil1		2.2959216	
Slamf7		2.2896574	
Cd300c2		2.2877276	
Reln		2.2834475	
Fcgr3		2.2814791	
Cd53		2.2706559	
Orm1		2.2653902	
S100a10		2.263457	
Ltf		2.249705	
Rnf39		2.2493896	
Cdkn2b		2.248221	
Tmem154		2.244533	
Sirpa		2.2417197	
Slc36a2		2.2398362	
Afap1l2		2.235657	
Ncf1		2.2351296	
Fcer1g		2.2351198	
Gngt2		2.2347705	
Ctsd		2.2191887	
Dusp5		2.2062943	
Zranb3		2.2060814	
Slc7a11		2.1980739	
Ly6a		2.1974747	
F7		2.1879497	
Fcgr2b		2.1779273	
Cd300a		2.1736896	
Sult2b1		2.1722953	
Lcn2		2.162782	
Ptafr		2.158974	
Slc15a3		2.1478505	
Epha2		2.1467197	
Il1rn		2.146436	
Ctsb		2.1389875	
Fth1		2.129265	
Tbxas1		2.1288762	
Sh3kbp1		2.1246235	
Cyp26b1		2.1225572	
Frmpd1		2.1197324	
Clca1		2.1186068	
Cib2		2.1150181	
Dmxl2		2.1147907	
Wnt10a		2.1130376	
Plekho2		2.1118891	
Csf2ra		2.107876	
Arl11		2.107876	
Nqo1		2.1058512	
Vim		2.1047702	
Mafb		2.1035168	
Ppl		2.0775502	
Bhlhe41		2.077444	
Gbp4		2.0666964	
Sntb1		2.0648704	
Tpm2		2.054321	
Evi2a		2.0479703	
Rasal1		2.0427957	
Ly6k		2.0386555	
Vnn3		2.0374043	
Hspa1b		2.0344179	
Aplp1		2.028149	
Ceacam1		2.0262036	
Matn2		2.021814	
C5ar1		2.0193787	
Cdsn		2.0169432	
Pim1		2.0113156	
Ltb4r2		2.008032	
Smox		2.0039065	
Perp		1.9943718	
Mif		1.9909502	
Dusp14		1.9882561	
Crlf2		1.9838495	
Cxcl15		1.979961	
Tns4		1.9799348	
Prap1		1.979218	
Cd44		1.975934	
Pirb		1.9645236	
H2-M2		1.9635156	
Cd52		1.9633485	
Dsp		1.9547789	
Tiam1		1.9493527	
Zc3h12c		1.9474562	
Slc35f2		1.940276	
Strc		1.939782	
Ptprc		1.9260422	
Dusp1		1.922605	
Myo1f		1.9183482	
Msantd3		1.9169794	
Nrg1		1.9063696	
Pak6		1.8965945	
Phospho1		1.8957431	
Pglyrp1		1.8943851	
Mpeg1		1.8890212	
Tnfrsf26		1.8788198	
Trpv2		1.8770256	
Bcl2a1b		1.8761457	
Rgs1		1.8735718	
Clip4		1.8688985	
Tubb2a		1.8676286	
S100a4		1.8670396	
Emilin2		1.8669662	
Bst1		1.8667985	
Rgs12		1.8626664	
Tubb6		1.8606327	
Hist1h1b		1.8555827	
Jdp2		1.8546214	
Gpsm3		1.8541194	
Cyth4		1.8479205	
Cd33		1.8178124	
Lpcat4		1.8095441	
Bdh1		1.8075895	
Mapk6		1.8037372	
Zdhhc14		1.7987632	
Gask1b		1.7914296	
Cxcr1		1.7881109	
Pdpn		1.7876133	
Aldh1a7		1.7853354	
Wnt7b		1.7769052	
Ckb		1.7690158	
Was		1.7677885	
Zfp385a		1.7672113	
Itih4		1.7667345	
Plcd1		1.7634252	
Robo1		1.7608379	
Nectin4		1.759042	
Epn3		1.7580075	
Megf9		1.7580075	
Pgam1		1.7563322	
Cers3		1.752856	
Malt1		1.7463161	
Hexb		1.7422534	
Eif4e3		1.7386422	
Apoc1		1.7386422	
Nfam1		1.7386422	
Hp		1.735752	
