NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
DESCARTES_ORGANOGENESIS_CARDIAC_MUSCLE_LINEAGES	206	28		
DESCARTES_ORGANOGENESIS_CHOLINERGIC_NEURONS	85		Rejected!	
DESCARTES_ORGANOGENESIS_CHONDROCYTES_AND_OSTEOBLASTS	37		Rejected!	
DESCARTES_ORGANOGENESIS_CHONDROCYTE_PROGENITORS	78	15		
DESCARTES_ORGANOGENESIS_CONNECTIVE_TISSUE_PROGENITOR	65		Rejected!	
DESCARTES_ORGANOGENESIS_DEFINITIVE_ERYTHROID_LINEAGE	52		Rejected!	
DESCARTES_ORGANOGENESIS_EARLY_MESENCHYME	11		Rejected!	
DESCARTES_ORGANOGENESIS_ENDOTHELIAL_CELLS	294	83		
DESCARTES_ORGANOGENESIS_EPENDYMAL_CELL	312	18		
DESCARTES_ORGANOGENESIS_EPITHELIAL_CELLS	192	80		
DESCARTES_ORGANOGENESIS_EXCITATORY_NEURONS	45		Rejected!	
DESCARTES_ORGANOGENESIS_GRANULE_NEURONS	57		Rejected!	
DESCARTES_ORGANOGENESIS_HEPATOCYTES	585	174		
DESCARTES_ORGANOGENESIS_INHIBITORY_INTERNEURONS	42		Rejected!	
DESCARTES_ORGANOGENESIS_INHIBITORY_NEURONS	44		Rejected!	
DESCARTES_ORGANOGENESIS_INHIBITORY_NEURON_PROGENITORS	37		Rejected!	
DESCARTES_ORGANOGENESIS_INTERMEDIATE_MESODERM	42		Rejected!	
DESCARTES_ORGANOGENESIS_ISTHMIC_ORGANIZER_CELLS	19		Rejected!	
DESCARTES_ORGANOGENESIS_JAW_AND_TOOTH_PROGENITORS	23		Rejected!	
DESCARTES_ORGANOGENESIS_LENS	30		Rejected!	
DESCARTES_ORGANOGENESIS_LIMB_MESENCHYME	43		Rejected!	
DESCARTES_ORGANOGENESIS_MEGAKARYOCYTES	172	46		
DESCARTES_ORGANOGENESIS_MELANOCYTES	77	19		
DESCARTES_ORGANOGENESIS_MYOCYTES	144	18		
DESCARTES_ORGANOGENESIS_NEURAL_PROGENITOR_CELLS	59		Rejected!	
DESCARTES_ORGANOGENESIS_NEURAL_TUBE	26		Rejected!	
DESCARTES_ORGANOGENESIS_NOTOCHORD_CELLS	77		Rejected!	
DESCARTES_ORGANOGENESIS_NUETROPHILS	40		Rejected!	
DESCARTES_ORGANOGENESIS_OLIGODENDROCYTE_PROGENITORS	24		Rejected!	
DESCARTES_ORGANOGENESIS_OSTEOBLASTS	24		Rejected!	
DESCARTES_ORGANOGENESIS_POSTMITOTIC_PREMATURE_NEURONS	23		Rejected!	
DESCARTES_ORGANOGENESIS_PREMATURE_OLIGODENDROCYTE	50		Rejected!	
DESCARTES_ORGANOGENESIS_PRIMITIVE_ERYTHROID_LINEAGE	528	153		
