NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
TABULA_MURIS_SENIS_HEART_ATRIAL_MYOCYTE_AGEING	TABULA_MURIS_SENIS_HEART_ATRIAL_MYOCYTE_AGEING		30	0.3022528	1.4947832	0.044444446	0.061206535	0.853	522	tags=37%, list=17%, signal=44%	
TABULA_MURIS_SENIS_KIDNEY_KIDNEY_MESANGIAL_CELL_AGEING	TABULA_MURIS_SENIS_KIDNEY_KIDNEY_MESANGIAL_CELL_AGEING		18	0.36407027	1.469579	0.07964602	0.069104336	0.889	818	tags=61%, list=27%, signal=83%	
TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_OLIGODENDROCYTE_PRECURSOR_CELL_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_OLIGODENDROCYTE_PRECURSOR_CELL_AGEING		88	0.21037659	1.4481343	0.025906736	0.076630004	0.917	1020	tags=53%, list=34%, signal=78%	
TABULA_MURIS_SENIS_AORTA_FIBROBLAST_OF_CARDIAC_TISSUE_AGEING	TABULA_MURIS_SENIS_AORTA_FIBROBLAST_OF_CARDIAC_TISSUE_AGEING		170	0.1850874	1.4435207	0.008264462	0.0777352	0.92	900	tags=42%, list=30%, signal=56%	
TABULA_MURIS_SENIS_KIDNEY_BRUSH_CELL_AGEING	TABULA_MURIS_SENIS_KIDNEY_BRUSH_CELL_AGEING		18	0.3417425	1.4415021	0.08259587	0.07793842	0.921	465	tags=44%, list=15%, signal=52%	
TABULA_MURIS_SENIS_BROWN_ADIPOSE_TISSUE_MESENCHYMAL_STEM_CELL_OF_ADIPOSE_AGEING	TABULA_MURIS_SENIS_BROWN_ADIPOSE_TISSUE_MESENCHYMAL_STEM_CELL_OF_ADIPOSE_AGEING		215	0.17806737	1.4315107	0.021052632	0.08182151	0.932	1077	tags=49%, list=35%, signal=70%	
TABULA_MURIS_SENIS_SPLEEN_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_CELL_AGEING	TABULA_MURIS_SENIS_SPLEEN_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_CELL_AGEING		16	0.326416	1.3314286	0.1488764	0.13586642	0.988	667	tags=50%, list=22%, signal=64%	
TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_BRAIN_PERICYTE_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_BRAIN_PERICYTE_AGEING		142	0.17035699	1.2861261	0.10526316	0.16819629	0.996	1025	tags=49%, list=34%, signal=70%	
TABULA_MURIS_SENIS_PANCREAS_LEUKOCYTE_AGEING	TABULA_MURIS_SENIS_PANCREAS_LEUKOCYTE_AGEING		16	0.31868583	1.2725171	0.17073171	0.17861317	0.998	973	tags=75%, list=32%, signal=110%	
TABULA_MURIS_SENIS_SPLEEN_NK_CELL_AGEING	TABULA_MURIS_SENIS_SPLEEN_NK_CELL_AGEING		16	0.30429706	1.2435983	0.1890411	0.20317593	1.0	489	tags=38%, list=16%, signal=44%	
