"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","gene_name","status"
9668.30355644066,2.22344049192088,0.0503826908471124,0,0,"FBgn0033717","CG8839","up_regulated"
32633.4179232213,2.24655433450789,0.0568056228831305,0,0,"FBgn0003888","betaTub60D","up_regulated"
22648.9656316966,2.32704224242599,0.0516129055106159,0,0,"FBgn0041789","Pax","up_regulated"
37605.4259967176,2.41537037128427,0.0643901856142951,0,0,"FBgn0035499","Chd64","up_regulated"
14393.7977816767,2.66782897483459,0.0453242639181027,0,0,"FBgn0034420","CG10737","up_regulated"
7289.56170121241,2.7520410820656,0.0658726612891842,0,0,"FBgn0023095","caps","up_regulated"
7943.33378203269,2.84129575146558,0.0504455613853437,0,0,"FBgn0038720","CG6231","up_regulated"
6130.73941272744,2.85834671313664,0.0710581161672056,0,0,"FBgn0014396","tim","up_regulated"
11064.3349433125,2.94881223295832,0.0544846344060223,0,0,"FBgn0032006","Pvr","up_regulated"
4587.08429875439,2.98791106830746,0.0793575980159594,0,0,"FBgn0050104","NT5E-2","up_regulated"
39992.7058096568,3.03247995578871,0.0643382044989408,0,0,"FBgn0264975","Nrg","up_regulated"
26386.843276936,3.05671254777196,0.066988278242528,0,0,"FBgn0000083","AnxB9","up_regulated"
19399.0744070885,3.06681004163469,0.0732368025461375,0,0,"FBgn0001297","kay","up_regulated"
30003.2748278439,3.06983186350101,0.049262904649756,0,0,"FBgn0265991","Zasp52","up_regulated"
146716.846129982,3.15854134985941,0.0818143201440879,0,0,"FBgn0016075","vkg","up_regulated"
206138.089553999,3.16502285779659,0.0837436308703489,0,0,"FBgn0000299","Col4a1","up_regulated"
10120.1359935336,3.21448434366964,0.0737248541302696,0,0,"FBgn0031975","Tg","up_regulated"
59805.7638517892,3.42778054382797,0.0728705808433497,0,0,"FBgn0261258","rgn","up_regulated"
3130.36609494526,3.49755325648091,0.0859705220639419,0,0,"FBgn0004858","elB","up_regulated"
43213.9399758804,3.65655925246852,0.055228501741796,0,0,"FBgn0010434","cora","up_regulated"
5755.41724922642,3.65676903462642,0.0808442857951392,0,0,"FBgn0010225","Gel","up_regulated"
2250.95782467322,3.67020143630926,0.0900657676607368,0,0,"FBgn0031322","CG5001","up_regulated"
7355.82026038199,3.68222748301896,0.0777844861379612,0,0,"FBgn0000244","by","up_regulated"
16956.601155672,3.72637413897809,0.0848339939437353,0,0,"FBgn0026061","Mipp1","up_regulated"
2798.03653318953,3.80281228198525,0.0915093526999438,0,0,"FBgn0035656","CG10479","up_regulated"
25570.5668484944,3.87291135900435,0.0839007088130469,0,0,"FBgn0002789","Mp20","up_regulated"
6391.29209897337,3.92144817883698,0.0851966337954878,0,0,"FBgn0033438","Mmp2","up_regulated"
3102.32757247045,3.94751702928386,0.0989664667695251,0,0,"FBgn0029932","CG4607","up_regulated"
3688.72709159237,3.95498601397224,0.100126427650832,0,0,"FBgn0020299","stumps","up_regulated"
18560.6891706994,3.96798001538328,0.0901160444822467,0,0,"FBgn0033875","CG6357","up_regulated"
14397.9657813519,3.97511336836852,0.0893974257727403,0,0,"FBgn0030309","CG1572","up_regulated"
27629.648657806,4.01021421559749,0.0614058602261559,0,0,"FBgn0000636","Fas3","up_regulated"
12251.0745231408,4.05015115156266,0.107462502863474,0,0,"FBgn0004859","ci","up_regulated"
15035.6252709001,4.10091060035561,0.0971885698131255,0,0,"FBgn0030362","regucalcin","up_regulated"
2361.90264521625,4.15406987190164,0.0870221727274432,0,0,"FBgn0027585","CG8740","up_regulated"
31028.084116216,4.15947276468349,0.106322506848383,0,0,"FBgn0000635","Fas2","up_regulated"
6169.77502627874,4.16766548896182,0.0986665960051594,0,0,"FBgn0001145","Gs2","up_regulated"
10704.8836555301,4.19151301157227,0.0764957067794773,0,0,"FBgn0266451","fau","up_regulated"
10859.5603867882,4.2079365794551,0.0866151009699502,0,0,"FBgn0038774","CG5023","up_regulated"
8160.47464700507,4.23158117683267,0.111410923078921,0,0,"FBgn0266492","SclB","up_regulated"
4861.60951127472,4.23471955482186,0.104944595538278,0,0,"FBgn0259736","CG42390","up_regulated"
4914.03906843614,4.25422529460416,0.106213851238211,0,0,"FBgn0010263","Rbp9","up_regulated"
8441.38473670264,4.26526975552116,0.0839347794414815,0,0,"FBgn0265413","CG44325","up_regulated"
5596.78637627629,4.30321092261218,0.103911527214024,0,0,"FBgn0010389","htl","up_regulated"
1071.47842590238,4.32301986763309,0.11362917819343,0,0,"FBgn0035976","PGRP-LC","up_regulated"
58149.9413881551,4.33689335563328,0.108722021419685,0,0,"FBgn0016123","Alp4","up_regulated"
4668.7868481297,4.34325986177844,0.114689884970246,0,0,"FBgn0051374","sals","up_regulated"
10991.4425289082,4.36114029884811,0.112293235055161,0,0,"FBgn0037565","CG9626","up_regulated"
6545.6419803431,4.42247058227982,0.0931944520762602,0,0,"FBgn0030976","CG7378","up_regulated"
7353.78792670539,4.42323083909939,0.0836183092522401,0,0,"FBgn0038638","CG7702","up_regulated"
25090.6621692789,4.43871382166108,0.115648452779722,0,0,"FBgn0035917","Zasp66","up_regulated"
5824.71856452145,4.4701456570933,0.0970669970191137,0,0,"FBgn0040091","Ugt317A1","up_regulated"
18642.5259796542,4.50381724696508,0.113485878413852,0,0,"FBgn0035710","SP1173","up_regulated"
8079.71162650917,4.52671809301297,0.109167357655337,0,0,"FBgn0011274","Dif","up_regulated"
7912.31112056686,4.53932686678311,0.106846617130997,0,0,"FBgn0265356","tn","up_regulated"
1225.22137154846,4.54539974394857,0.114657239905277,0,0,"FBgn0262057","Spn77Ba","up_regulated"
13792.911563611,4.57179286504982,0.11153767239429,0,0,"FBgn0032129","jp","up_regulated"
1828.40806796199,4.59782730145979,0.119446404746723,0,0,"FBgn0033304","Cyp6a13","up_regulated"
4897.31483865851,4.60418352299295,0.0820002197738413,0,0,"FBgn0032899","CG9338","up_regulated"
2083.46090008431,4.61042962661136,0.116444922236917,0,0,"FBgn0029507","Tsp42Ed","up_regulated"
18930.9981726144,4.63210615527936,0.11519873148657,0,0,"FBgn0026562","SPARC","up_regulated"
3456.05478683977,4.65625196751333,0.0959312862526623,0,0,"FBgn0034438","CG9416","up_regulated"
42368.7155286976,4.6614862661026,0.12412769443312,0,0,"FBgn0261015","Pif1A","up_regulated"
2234.00086020557,4.68584242139943,0.105145551957719,0,0,"FBgn0259977","Tdc1","up_regulated"
8550.89423122262,4.70417745392696,0.0832382071546725,0,0,"FBgn0266448","CG45078","up_regulated"
2829.34138091912,4.73003648494456,0.115936593751556,0,0,"FBgn0038037","Cyp9f2","up_regulated"
1734.65959445009,4.74979110879299,0.120085383706838,0,0,"FBgn0033134","Tsp42El","up_regulated"
4460.679805387,4.78045832884709,0.119370671418224,0,0,"FBgn0052354","CG32354","up_regulated"
8302.25265025899,4.80070711765845,0.0761670109014811,0,0,"FBgn0266758","Esyt2","up_regulated"
4511.44657918764,4.80741618170397,0.0976103502770136,0,0,"FBgn0085400","side-V","up_regulated"
6229.57255540219,4.81910329279573,0.11925928570525,0,0,"FBgn0034761","CG4250","up_regulated"
66415.0720223407,4.82307566728552,0.0980915670245836,0,0,"FBgn0041180","Tep4","up_regulated"
14453.9742705699,4.89406809070775,0.102411563429357,0,0,"FBgn0032156","CG13124","up_regulated"
2859.46491017493,4.91747238319217,0.0918060919124784,0,0,"FBgn0033128","Tsp42Eg","up_regulated"
4105.64059184559,4.96551065194211,0.0788123510573714,0,0,"FBgn0032593","Trpgamma","up_regulated"
3155.64912684258,4.97288311500371,0.131431743107179,0,0,"FBgn0032683","kon","up_regulated"
5628.67399934444,5.04158924427661,0.128830323225015,0,0,"FBgn0260228","CG42502","up_regulated"
53987.0923111045,5.06480506354358,0.123385251270344,0,0,"FBgn0264894","CG44085","up_regulated"
11154.7445888181,5.06764700160086,0.0807662123894892,0,0,"FBgn0032666","CG5758","up_regulated"
1208.50910722927,5.0756353162574,0.133497342872467,0,0,"FBgn0003129","Poxm","up_regulated"
2402.8765635127,5.13431352127166,0.110947541376288,0,0,"FBgn0050296","RIC-3","up_regulated"
6831.77177075691,5.22021896945818,0.115018538075182,0,0,"FBgn0027586","CG5867","up_regulated"
1703.04824189124,5.26456261711866,0.131941378039414,0,0,"FBgn0051826","CG31826","up_regulated"
5437.92910842972,5.49683591221458,0.110097749011657,0,0,"FBgn0033652","ths","up_regulated"
1946.82644087411,5.56141329347627,0.120950043131529,0,0,"FBgn0263131","CG43373","up_regulated"
4467.18224932881,5.58213567611671,0.115674729673498,0,0,"FBgn0030304","Cyp4g15","up_regulated"
5660.96980470066,5.67565826576075,0.111892528596849,0,0,"FBgn0032629","beat-IIIc","up_regulated"
2459.56246663196,5.6776052221466,0.140017831953046,0,0,"FBgn0031327","CG5397","up_regulated"
70213.6370532743,5.75973670327216,0.116906730976653,0,0,"FBgn0011828","Pxn","up_regulated"
6643.56794901272,5.84843881514954,0.147431189149976,0,0,"FBgn0031313","CG5080","up_regulated"
1936.28767444982,5.86166362109004,0.138084723324421,0,0,"FBgn0026721","fat-spondin","up_regulated"
20522.3628617831,5.92873544011439,0.0951010590104722,0,0,"FBgn0259994","OtopLa","up_regulated"
1582.87295926436,6.47600140537589,0.17175067227328,0,0,"FBgn0037228","CG1092","up_regulated"
2222.26737547199,6.61867714112633,0.176586474219215,0,0,"FBgn0014033","Sr-CI","up_regulated"
4580.58950898546,6.67803531916746,0.116827578348698,0,0,"FBgn0035770","pst","up_regulated"
21256.6615705963,6.98046717166758,0.156279981231948,0,0,"FBgn0029167","Hml","up_regulated"
2328.92038569057,6.92688167304767,0.185031572698817,2.53202600543296e-307,2.01782995509888e-305,"FBgn0243514","eater","up_regulated"
1505.61167528213,4.56582488128324,0.122369197243671,2.50762578845302e-305,1.98450718647296e-303,"FBgn0266346","CngB","up_regulated"
7903.19613011148,5.75247275742169,0.155586650763231,5.26692078233367e-300,4.08311763506629e-298,"FBgn0039927","CG11155","up_regulated"
1585.45514967618,6.61104950618361,0.178601703138917,6.6697428862413e-300,5.1357020224058e-298,"FBgn0035076","Ance-5","up_regulated"
1484.74974768336,3.99949125395372,0.108243592253375,1.14144957256614e-299,8.73017404628437e-298,"FBgn0085474","CG34445","up_regulated"
