"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","gene_name","status"
5888.58718875866,2.55433114686827,0.0639951035643117,0,0,"FBgn0034398","CG15098","up_regulated"
5533.91919224488,4.01194497160608,0.0996724038437524,0,0,"FBgn0261565","Lmpt","up_regulated"
5347.53421881363,4.82414522164478,0.121924287889628,0,0,"FBgn0026061","Mipp1","up_regulated"
11504.051062429,4.86407198255903,0.12470123780289,0,0,"FBgn0003149","Prm","up_regulated"
3205.75568566588,5.10619337826562,0.120016416474711,0,0,"FBgn0014863","Mlp84B","up_regulated"
11617.5134386876,5.20084056332716,0.128900382213252,0,0,"FBgn0038294","Mf","up_regulated"
3323.34887723604,5.3308896256629,0.123218943188099,0,0,"FBgn0034638","CG10433","up_regulated"
7420.1696384621,5.45679124604408,0.0928880918697834,0,0,"FBgn0035917","Zasp66","up_regulated"
11645.4505857948,5.46521836342504,0.125463347848909,0,0,"FBgn0002789","Mp20","up_regulated"
15473.5608020036,5.56094875498185,0.131245488395333,0,0,"FBgn0283471","wupA","up_regulated"
15208.5963868035,5.67184799203252,0.138583933850316,0,0,"FBgn0004117","Tm2","up_regulated"
32519.3404244772,5.78274460020543,0.149496245527181,0,0,"FBgn0002773","Mlc2","up_regulated"
1397.20852399318,5.92001778519622,0.143441818999889,0,0,"FBgn0034920","CG5597","up_regulated"
1755.07227842311,6.01822000174288,0.146181704342647,0,0,"FBgn0037513","pyd3","up_regulated"
20053.4007755935,7.54550225393825,0.170150914462237,0,0,"FBgn0011828","Pxn","up_regulated"
2150.57320937112,7.54595887800661,0.186926943677553,0,0,"FBgn0031313","CG5080","up_regulated"
5699.09918528732,5.92197993154466,0.16358549618823,1.28708786389136e-286,8.31307337972184e-284,"FBgn0026562","SPARC","up_regulated"
2843.50527680904,6.12848836320563,0.170548012330695,3.05814808187478e-282,1.86547032994362e-279,"FBgn0039529","CG5612","up_regulated"
1340.14853120811,6.58447678339354,0.185959165238012,5.69566746419262e-275,3.29149625035974e-272,"FBgn0036742","CG7497","up_regulated"
6894.88043277606,4.30900340741136,0.122320819022693,1.51330262359303e-272,8.30803140352576e-270,"FBgn0000261","Cat","up_regulated"
10124.0555706811,5.67544825245646,0.161693989051259,1.32754008888203e-269,6.94113817901176e-267,"FBgn0010424","TpnC73F","up_regulated"
10730.1120263371,4.92613816637772,0.141895211635554,7.48954187459903e-265,3.73796226286806e-262,"FBgn0002868","MtnA","up_regulated"
22057.6482848988,5.05331492357676,0.148232059883943,9.39290426288003e-255,4.48409081767055e-252,"FBgn0004169","up","up_regulated"
