"gene_id","Mio_vs_WT_log2FoldChange","ZFRP_vs_WT_log2FoldChange","Raptor_vs_WT_log2FoldChange","WT_tpm","SETDB1_GKD_vs_WT_log2FoldChange","Nup154_GKD_vs_WT_log2FoldChange","EzGLKD_vs_wGLKD_log2FoldChange","cluster"
"FBgn0052581",14.371399603998,13.6702879361544,13.1864395889573,0,6.20993181423502,6.06898016084367,-0.0707474570686613,"c1"
"FBgn0026755",13.4042300525215,0.966626819566632,2.93426815363518,0,7.80389015486979,6.61840838139995,0.312774955189696,"c1"
"FBgn0037100",13.3595731057191,4.41474028413172,6.70766903684977,0,5.85946438902829,5.54617200568776,3.35186476075449,"c1"
"FBgn0039452",12.90225654355,-0.258891515656848,0.81872773994101,0.228074255389137,9.73033628339666,11.4811643303776,0.13846315655039,"c1"
"FBgn0035412",12.0122459125649,0.19246599440141,0.544772419291456,0,8.78475543895781,8.92217972840528,0.596245830310754,"c1"
"FBgn0038846",11.6805582122092,0.520076685087977,5.2922406609745,0.110903783321494,4.68850973680444,4.65212647289823,8.59616015360963,"c1"
"FBgn0036563",11.6075697685412,0.729994060893801,3.67300977930888,0.0701105932698325,6.85799808253199,7.76278797886832,2.07423056852488,"c1"
"FBgn0039085",11.2605582274568,-0.164641745719247,1.0595035678095,0.0105351103313643,8.36891395371309,9.90620173682404,4.1342038982663,"c1"
"FBgn0029765",11.2139550937766,5.68229305668862,8.70880034462809,0,5.51922446750495,3.44582877271854,6.07691103901042,"c1"
"FBgn0031547",11.0077979965014,2.38585076837388,4.60996444252823,0.00791023146285617,9.58493484194998,7.53026226387525,1.08550875502167,"c1"
"FBgn0040349",10.8773854224781,3.01496401851879,5.68748208387411,0.44476620264616,5.98411744002417,5.82395533500721,4.58079614634936,"c1"
"FBgn0027934",10.8292631713866,-0.232756866529936,4.54305048043119,0.0173124706044014,9.25981519434903,9.31063361026283,0.383309176759935,"c1"
"FBgn0053511",10.8086919730404,-0.925648403822034,2.87318658379678,0.0826015847993057,12.5150085272194,10.1674913670485,3.21989821591092,"c1"
"FBgn0031520",10.7293630307144,2.21467797589055,3.12044749267442,0.00886915253106312,6.80112787438814,6.76313965370988,6.55725183456714,"c1"
"FBgn0031522",10.6690227219033,-0.35988763065908,1.54080689922875,0.0504411814424124,11.5242333256638,11.0131642730123,1.14172230800576,"c1"
"FBgn0038719",10.6439579411562,-0.363180657712941,0.196506325477239,0.27232343001126,9.01054886155077,9.10604447140885,0.9254548572966,"c1"
"FBgn0032913",10.6108032090011,-0.327501845613288,0.806610605627512,0.369990595840423,7.5249281168476,9.86869041676823,7.92664298687377,"c1"
"FBgn0037714",10.5556469792845,4.30686853892034,4.54072169582342,0.295770175384864,5.92777031078998,5.97234214334233,5.38872866293787,"c1"
