"","gsc","cb","bam_hs_input","young","wt","ZFRP","Mio","Raptor"
"CG5646",2.297,3.932,4.76,2.193,1.813,3.62369887748755,4.1763598323975,3.1682014322554
"CG9336",7.53,8.591,10.213,5.273,5.875,10.286510214865,9.6460398067391,9.30360688691458
"side-VIII",-0.052,3.398,3.027,2.147,-0.43,2.2869452602431,2.52366986681943,1.7689584000975
"CngB",1.229,3.758,3.921,2.635,0.543,3.9439175902137,3.99011098871703,3.30708918052385
"Nplp2",8.415,10.417,8.893,5.426,2.642,7.43955379229609,10.2169298636512,7.77010459785343
"CG10710",-0.683,2.176,2.946,2.924,-0.604,2.33323793676019,3.07518353176303,2.89379618724359
"eya",4.078,6.307,5.544,6.88,2.947,5.69750927144838,5.55558232313666,6.18220876004655
"nord",4.051,6.325,4.831,5.744,2.197,5.30044009847374,5.93890170844773,5.50259737327089
"Tsf1",4.564,6.398,3.906,3.732,0.713,4.74040060584542,5.91005233635506,4.09861961984591
"CG31313",4.095,4.973,5.125,1.838,2.298,6.97305322394067,5.94484835976514,5.23013017693017
"RyR",-0.588,3.515,0.433,2.786,-0.467,2.51943205657939,3.25980735423234,3.02943758872403
"CG8539",4.694,5.059,2.802,4.258,3.661,3.03884829977493,3.52831430561732,3.1901541005842
"hdly",4.758,6.571,4.736,5.771,3.872,6.63839078040256,6.44594511057469,5.8495854545779
"CG44245",4.103,7.318,7.65,6.436,3.008,8.57323960227201,7.92060993448364,7.91435838813696
"NimC2",0.145,2.636,2.778,1.036,-1,3.1438350089827,3.88668883683889,2.60300232013273
"Dscam1",-0.604,2.203,0.849,0.842,-0.72,2.1210274903005,2.71875212393628,2.16931378757319
"yellow-h",1.342,4.248,3.404,1.739,-0.364,3.86833589458246,3.81472946452555,1.70211928941651
"CG10947",-0.26,1.843,1.629,1.424,-0.924,2.05805931965699,2.90676328233607,1.49516577491768
"Cyp12a5",0.843,3.234,-1,1.045,-0.368,2.18273989578698,3.72672053801159,1.42154469654449
"CG9760",0.567,3.61,3.251,2.685,0.101,2.82544545555039,3.11083878072848,2.1415778812814
"serp",0.962,3.108,4.966,4.005,1.163,2.77029592330939,3.71279734288677,2.59714474124309
"CDase",1.061,3.661,1.954,3.182,0.012,2.83687064898491,3.06661991458584,2.88012669964131
"Rh50",0.336,3.716,2.073,0.654,-1,2.379682846716,3.76496965685313,2.62330412191739
"CG4822",2.027,3.65,2.995,1.718,2.453,3.96465694014636,4.29829550879196,2.92081601426457
"CG15365",0.16,3.066,3.433,2.748,0.421,3.66471855878132,3.2580903103167,3.39774064352912
"CG14275",3.964,4.579,6.203,5.075,3.472,6.57079873365485,6.413513629964,5.97214158218954
"Ptp36E",0.598,2.926,4.579,2.454,0.223,3.23299653079097,3.20624975347689,2.59481492799701
"alpha-Est8",1.167,4.007,3.531,2.681,2.719,4.06031275098571,4.38425083539316,3.28015555150967
"CG15279",0.523,2.293,-1,3.5,1.024,2.27949090260957,6.4122516880355,2.24215036334507
"CG10550",1.878,3.422,2.119,2.348,0.301,3.90627545032238,4.22183142747471,3.5049748284847
"SmydA-4",0.437,2.819,4.758,2.434,-0.905,3.00260746845114,3.18133743884189,3.05151952094106
"Ac76E",0.861,3.912,3.093,3.008,0.771,2.58887599872797,2.72684320058889,2.43124631473845
"RhoGAP102A",-0.195,3.053,2.95,2.809,-0.163,2.53264159153402,3.40086487414179,2.13688960566411
"CG5577",2.157,3.994,3.332,1.975,1.084,4.07535839818789,5.1533427266189,3.66921865818832
"CG31102",-0.07,1.731,1.829,1.401,-0.638,1.76614072668419,4.27672517168679,1.74046877567315
"CG2065",3.488,4.612,3.621,2.156,1.414,3.7817456435941,5.14810323704142,3.86308118074082
"CG9297",1.014,4.487,3.383,2.093,0.843,4.80502501464138,3.80715708795262,3.76765669130971
"CG14687",5.502,6.061,8.136,5.221,2.968,6.98101196714331,6.81061039986462,5.91386412108297
"TyrRII",-0.324,1.505,1.678,1.661,-0.798,1.69414112705178,2.66686596166272,1.31375873905975
"bt",0.704,5.31,4.777,6.187,1.342,4.44768916291456,5.48705457549747,4.75984600798848
"CG2145",3.038,5.631,4.823,2.84,0.482,5.41417155145314,5.26114783693461,4.8261409081597
"clumsy",0.14,2.961,2.464,2.173,0.017,2.38609212721932,2.55198836342154,2.3071071529075
"Ldh",2.378,5.056,1.438,1.221,0.873,5.16815130809066,4.72713351904116,4.18758676324627
"sick",1.559,5.121,4.229,4.407,1.096,4.84593440942393,5.14922304624876,4.70741624245161
"Ugt317A1",5.891,6.706,6.546,7.115,3.339,6.33661762810101,5.91014106253574,5.70287060118346
"IRSp53",0.46,2.5,1.208,2.257,-0.318,3.20971648380943,3.24098238458873,3.17868973426128
"NetA",0.807,4.24,1.977,1.522,-0.622,2.24596294335858,2.63579543592517,1.74546709330221
"Fie",1.909,4.399,4.304,2.379,-0.299,3.35899730528078,3.80098311786372,2.73920594083065
