"","gsc","cb","bam_hs_input","young","wt","ZFRP","Mio","Raptor"
"CG17264",1.623,3.227,3.778,1.916,0.449,2.55843392720208,2.84667441650877,2.0573050005477
"unc-5",0.596,2.642,0.079,1.253,-0.748,1.04367878922672,1.598177246124,0.521749741929973
"Achl",-0.602,1.469,2.337,1.834,0.037,1.53440201081988,2.69150810647045,1.88415008857168
"NPFR",-0.403,0.09,0.984,0.655,-0.728,1.63734613263962,2.41921494138912,1.57591945275083
"CG31140",-0.545,2.937,2.445,3.441,-0.33,2.59794308072209,3.71962884749436,2.41840615679381
"CG1208",0.597,2.976,0.073,2.842,-0.206,3.18231690059645,4.66205816903585,2.82483532345105
"Sobp",3.034,4.48,3.448,4.745,1.938,4.08821111183917,3.58920583362678,5.02174732263421
"bowl",3.182,5.614,4.931,5.059,2.739,4.63485374227768,4.86235555804607,4.01321201978146
"Grip",3.267,5.15,4.107,3.201,1.831,3.02926740219551,3.16801002585723,3.26036917302331
"CG9664",-0.192,2.268,-0.865,0.558,-0.385,1.25549138059162,1.96630982399131,1.45981076264455
"stl",3.981,5.852,4.184,5.801,3.796,5.37066035673086,5.12421804678714,5.47684093488044
"CG18507",1.853,3.795,5.02,2.336,2.033,5.21863334653621,4.8035286108475,4.22783330181974
"AQP",0.624,2.449,4.077,1.685,-0.521,3.43887473625045,3.72670432699324,2.91154741087479
"Cys",7.366,8.516,8.57,5.806,6.471,8.01542543167636,8.25112712581638,7.27034361961874
"Shab",-0.627,1.578,1.805,1.433,-0.612,1.62716813038156,2.3670826979128,1.37528019466766
"Corin",-0.756,0.922,0.564,0.819,-0.947,0.695769152674638,1.02774313583639,0.651673526188414
"mbl",1.023,4.573,3.928,4.16,1.529,4.26565017136748,4.96678584372336,3.6624417563949
"Traf4",2.774,4.216,3.329,3.391,1.807,3.52721656814224,3.58428155420637,2.88830239437759
"PGRP-LF",0.999,2.877,2.423,0.632,0.629,3.40507043046521,3.45331396691414,2.28372632045301
"NimC4",2.138,1.973,4.087,4.484,-0.824,5.48338935371981,6.62461850181804,5.57183166246725
"Tig",-0.252,3.361,1.424,3.106,-0.127,2.91203643483592,3.1313501644728,3.8927756842183
"mew",3.139,5.934,5.313,5.737,3.773,5.02636678808076,5.52985192886653,4.75320492834733
"LanB1",5.451,8.026,7.454,8.759,5.251,7.25018534444676,7.28536039348282,7.21147114156927
"Tsp42Ei",2.608,4.154,2.8,1.337,1.196,5.21769664381341,4.23124134288348,4.03930815817751
"CG32170",0.039,2.349,-1,1.153,-0.082,1.83164856641524,2.55194178539894,1.95752604367073
"nSyb",NA,NA,NA,NA,NA,1.28709973694569,2.35840004185872,0.480509250954005
"NK7.1",2.532,4.728,4.285,4.037,2.225,4.17045223021351,4.45370227664917,4.12024013271518
"DCX-EMAP",-0.714,0.228,1.427,-0.776,-1,1.33562356975211,2.48618790521323,0.868315247224648
"stan",-1,1.004,0.548,0.186,-0.965,0.624695317292741,2.07326314072473,0.503525576745146
"lectin-37Db",NA,NA,NA,NA,NA,5.89416941614567,5.96961284523874,3.16056376619687
"CG30197",7.482,7.568,7.843,5.389,5.59,8.11927053192207,8.12529442614072,6.9884952687725
"CG7695",3.497,5.842,6.748,-0.629,1.127,5.96301137607367,4.77013006981173,4.35207872790868
"CG8852",0.506,2.733,2.404,1.896,0.525,2.06116065275395,2.46084444491849,1.96380025832821
"CR18166",NA,NA,NA,NA,NA,3.30072769086588,3.07143317939259,2.95967046260378
"CG3301",0.375,2.605,1.521,-0.606,-0.4,2.82004242382579,4.66661954148229,1.73917390652885
"Sur",0.603,3.928,2.693,3.832,2.019,3.00082787049405,3.45559233669652,2.70456848995473
"vkg",5.987,8.274,7.129,9.234,5.623,7.78674697090837,7.91535698337632,8.55793286832409
"CG14961",0.218,2.168,0.585,2.121,-0.534,1.09980896825092,2.34539496364165,2.39881889363305
"robo2",-0.377,2.907,-0.329,2.521,-0.888,1.82888661794146,2.19607180632462,2.10006612586928
"CG11951",0.377,1.487,1.091,-0.259,-0.367,2.50473585487292,2.11807539843611,0.731767416348327
"jtb",3.513,1.646,2.85,4.164,4.863,4.22350215272981,4.58205129955202,3.5205958074889
"Gbp2",2.56,5.487,2.539,3.165,0.802,2.4984399047664,4.18810597700663,2.75907657079581
"vvl",-0.483,1.703,2.26,1.797,-0.768,1.18762419992671,1.9727027165691,1.04915453292799
"Est-6",2.788,4.513,3.249,-0.712,0.897,6.38041601066795,4.01971872727027,4.19785488015927
"CG13012",1.043,2.42,2.99,1.29,1.19,4.51118529611866,4.38575428202072,4.05780780119375
"Ance-5",1.339,4.128,4.977,3.099,-0.521,4.51387471200473,6.07534297193704,3.95036932509882
"side-IV",-0.771,0.875,1.487,0.839,-0.866,1.04112428940592,1.83246350438644,0.97616439478471
"rau",4.399,5.779,5.116,5.3,2.883,4.85497056332066,4.3967446871533,4.97748937923483
"CR43281",NA,NA,NA,NA,NA,2.79242226248182,3.34264540822731,1.81601158127307
"Ndg",-0.728,1.943,1.378,1.13,-0.728,0.869732687658714,2.07510376886495,1.0193493710088
"CG34446",4.932,5.512,7.978,4.994,2.691,8.1592421083791,6.84078034016424,6.7421076197745
"CG14777",3.611,4.072,4.625,3.549,2.715,4.57847364236311,6.03247461986828,4.64587400326364
"CG43373",-0.558,2.805,2.115,1.061,-0.636,2.07519006519854,2.865077043336,1.77357030938714
"olf413",-0.491,1.446,-0.237,0.225,-0.916,0.394476391098784,1.06223985866365,0.12646011108886
"CG6282",0.868,3.698,2.784,1.275,0.171,2.10990298155837,2.30957237336544,2.28686789681619
"CG31777",4.096,5.114,5.237,2.938,2.571,5.754907184459,5.96031278171657,5.20928400124502
"CG15347",6.053,6.963,8.261,3.252,5.689,7.82417155710028,7.5787594308191,6.9438962691562
"Spn27A",5.093,7.122,6.302,5.413,5.258,7.61957564930476,7.0306824243428,7.39219497239924
"Hf",2.974,4.713,4.591,0.605,-1,4.03543269126796,4.47800309111219,3.93886986207787
"CG32599",2.15,3.559,3.451,1.986,0.391,3.87032863941527,3.92423377546309,3.44650585015109
"Lsp1beta",2.198,7.938,1.811,-0.201,-0.915,4.68382169764959,3.43221568436402,4.30643550117499
"CG13229",-0.039,1.558,2.798,1.267,-0.404,1.08910502577664,2.53949890410643,0.502215011023493
"sls",-0.293,3.509,2.389,4.046,-0.01,3.80406427273423,4.57473587369826,4.3971368300791
"kay",3.355,5.844,5.376,5.146,3.485,5.7524576278163,6.25703658620709,5.72071137521205
"wb",0.238,3.606,2.579,2.982,0.734,3.54896592012817,3.94062847559292,3.74492353969033
"CG14401",3.017,4.344,4.633,2.021,2.507,4.74748328165365,4.36990103000493,3.94727239597231
"CG16799",1.367,3.238,2.607,-0.604,-0.824,4.73843125155683,5.00054860247258,2.96939247696522
"CG13248",0.036,3.085,2.552,0.277,-0.63,1.16132360931427,1.9866116296862,1.18078450920797
"CG31778",1.303,3.739,3.079,0.88,-1,2.6201640883425,3.86267884559459,2.03970418179001
"Ir76a",2.202,4.737,-0.804,2.548,-0.89,2.00613013805813,2.16543092671601,2.01021904473614
"CG3176",3.631,2.289,3.935,0.489,1.554,5.24572315950724,4.85416671384854,4.59703195489669
"CG15412",0.88,2.624,1.291,0.705,-0.306,2.1095186992874,2.68939170721042,1.50930620831581
"Ttc30",-0.284,1.256,-1,0.598,-0.363,1.86896985218875,2.4421536997765,1.4883663409366
"CG32368",4.971,6.327,6.571,3.158,4.395,4.53074020218836,5.2485626699583,3.96934049528875
"CG6041",1.774,3.148,1.51,1.926,0.635,1.89359452287245,3.53393659923876,1.93550562838968
"GV1",0.258,2.667,-1,3.137,-0.29,3.131745995181,3.41058959727645,3.13766791703422
"CG34253",NA,NA,NA,NA,NA,4.2157760546431,4.98121552681719,3.75478325964687
"Cyp28d1",2.862,5.609,-1,0.465,1.139,1.09846118112357,3.8387359794585,1.27596396763833
"CG2641",2.467,4.333,-1,3.789,3.314,2.75772610225065,3.40871554447971,3.11686434455239
"beat-IIb",0.039,1.403,2.725,1.494,-0.507,1.22383478845246,2.78736083779014,1.32203302992059
"CG32647",-0.533,1.165,0.787,-0.225,-0.71,0.672555483836542,2.32483092324399,0.792526232869142
"elav",0.417,3.095,3.141,2.749,0.31,2.30822146974244,3.29234930965629,1.90611598992913
"CG42750",NA,NA,NA,NA,NA,1.08744043283176,1.50566368333907,1.09620112629648
"CG13795",-0.008,2.743,-1,1.614,-0.907,1.29757842431171,2.35063970383816,1.29406732462168
"sli",0.775,4.656,3.785,4.119,0.718,3.53251373308903,3.25231580226539,3.27231279678736
"CG33253",-0.48,2.034,1.492,1.051,-0.423,2.82201161259318,2.98795618343758,2.99346545832435
"SPR",1.387,2.934,2.23,0.593,0.863,5.5885782315627,3.26492723438098,2.97252576414404
"pdm3",-0.664,1.407,0.687,0.586,-0.792,1.21996678075128,1.47512612200872,0.925223538191664
"CG6739",0.473,2.589,2.927,2.032,1.067,1.86816955152144,2.82320014665657,1.60129861643207
"Nepl11",1.327,3.525,2.38,0.204,-0.005,1.80519902086564,2.84185776316433,1.77491767749047
"Hk",-0.251,2.31,2.08,1.496,0.225,2.3767150405124,2.60677225872899,2.24606545923746
"Gycbeta100B",-0.979,-0.751,-1,-0.863,-1,0.433572122543138,2.50801708654762,0.0451147487798395
"cv-c",0.912,4.245,3.171,3.779,1.786,3.66790673698179,4.04087054828915,3.44894905321541
"ptc",0.911,4.32,3.321,3.48,0.611,2.63510820633634,2.80104411774938,2.6712731084927
"CG30016",2.8,3.984,5.692,1.792,0.521,1.65440070813003,7.6819449105404,2.06901769741454
"CG14855",0.465,4.144,2.55,2.192,0.677,3.21477505128142,3.46956731513485,2.47423635604107
"AANATL2",0.997,2.003,3.394,-0.293,-0.397,3.29319779854151,4.89236447904467,2.47604961611622
"CG5639",0.355,2.897,1.653,1.836,0.01,1.92788780479273,2.28752918149821,2.52406302502671
"CG32750",-0.597,-0.049,-1,-1,-0.734,3.11784006844958,3.02348390583416,1.54287846991277
"robo1",0.518,4.209,3.599,4.047,0.544,2.56074507252342,3.06189852583677,2.49571935640593
"prc",-0.925,-0.564,-1,0.775,-1,0.251280351668872,1.56653270949799,0.832159664246509
"rk",-0.652,1.721,0.525,1.322,0.401,1.27123182798025,1.89071502150879,1.35457459208841
"Hsc70-2",1.193,3.756,5.513,3.851,0.252,3.50985667540874,3.79658652144632,3.62814920263739
"sunn",3.967,5.356,5.082,2.895,-0.216,2.12959771988537,1.72169638930259,2.05325403997073
"CG3104",0.817,2.671,4.057,2.168,1.056,4.39479224674001,4.41879242879451,3.68632368948936
"CG3246",2.316,4.836,2.122,0.054,-0.174,1.11774244211857,3.4759981554249,2.06684552590486
"bru3",0.636,3.442,4.114,3.338,-0.21,4.59794583601819,5.01313358287661,3.88015428744806
"CG10621",4.188,6.321,1.08,1.326,1.649,3.81395021922758,5.6389301768514,3.51596532990103
"corn",1.673,4.574,3.129,3.715,-0.298,3.23641258710615,2.98378069539527,3.23087719939816
"CG34355",1.031,3.445,2.42,1.443,-0.437,1.42004026444592,1.2260460171782,0.982126944882499
"CG1894",3.852,5.096,2.681,0.098,-0.446,2.77949173779034,2.36778581902978,0.967577221524839
"CG43861",0.28,1.617,0.729,0.462,-0.605,1.33803937864953,1.99396748884191,1.5025769116371
"CapaR",NA,NA,NA,NA,NA,0.0916950780545525,3.44810941033692,0.215239843088881
"stops",0.914,2.516,-1,2.482,2.202,2.51986341584225,2.56345099702448,2.10461795465231
"CG7582",1.831,3.799,2.351,1.447,0.235,3.94428281255429,3.04707712086347,3.7618516843108
"Eglp4",2.537,5.099,1.865,1.055,-1,2.1583094417756,6.10886828121802,3.05726258519103
"CG10764",0.275,2.89,2.005,0.284,-0.628,2.42040300920493,2.81256944370115,1.02917757179861
"CG6426",3.235,4.598,3.789,2.493,-0.047,3.24026320566437,4.75266040933122,3.69008569576108
"RpL22-like",5.437,6.874,3.593,0.108,-0.817,7.13875640102643,3.01842930903771,1.8536007668109
"CG10026",-0.117,3.21,1.616,1.621,0.42,2.89171190979204,3.44517165017392,2.39820101140502
"bab1",-0.398,1.481,0.886,0.732,-0.791,0.93350465041962,1.43104255665298,1.04655721221097
"Inx3",6.107,7.378,7.407,6.082,6.008,8.12820013262239,7.49501851298467,7.25111169564248
"Npc2g",4.866,6.77,4.984,1.233,-1,3.13557289802116,6.19783839135729,4.18868553055844
"CG3097",0.049,2.503,2.654,1.796,-0.675,2.02169964147687,2.09570201605915,1.84707471212318
"CG10514",2.324,5.183,-1,-1,1.503,4.70459754402737,10.2142850438707,4.16219166053422
"CG10559",1.205,1.709,2.936,0.991,1.128,2.42332302478671,2.91633179744479,1.91729674632598
"CG3505",2.145,4.219,3.216,2.913,-0.231,3.67707591825375,3.62055626844401,3.27636240918047
"CG14830",3.723,4.642,1.929,2.507,2.186,4.37415092611134,3.81345888615496,3.75478488317722
"Reck",0.182,1.745,1.954,1.807,-0.445,0.916814263652418,1.70726061884415,0.924022305589804
"CG14715",7.977,7.344,6.364,7.504,7.882,6.64011574539887,6.01014815407968,7.28435462595342
"drm",0.047,1.068,-1,-0.045,-0.561,3.56806329022638,2.99069145686039,1.52561911703947
"CG4984",-0.392,0.775,-1,0.605,-0.302,2.00341544496724,2.33555250538659,2.30159364730308
"CG43088",2.193,5.07,4.013,-0.401,-0.492,3.87057633199682,2.72950721215061,0.894253479815868
"Obp57a",3.395,3.426,0.677,-1,2.181,8.73062307668001,4.9499177886511,4.29968740922675
"CG13255",0.954,1.634,3.037,1.204,0.077,1.98346698503279,4.31616373720257,2.43408653579768
"CG9396",3.116,4.405,1.336,2.271,-1,2.83771110699367,8.06681485889341,2.92788647665871
"fon",2.409,5.53,4.023,1.606,-0.269,2.39982574500932,5.18384417417894,2.90870277527348
"CG5955",0.635,3.415,1.441,2.708,-0.183,3.11566302964605,3.25760186901927,3.29785337457505
"CG15293",3.827,6.737,5.734,1.824,-0.194,2.36068133682184,5.60824181021803,3.15270679437934
"Twdlbeta",2.557,6.122,4.768,2.952,-0.698,4.93613429880384,4.87018509355114,5.08343429347816
"CG10307",0.199,2.437,4.558,0.822,-0.549,2.46977577946792,2.39948799316733,1.43590575083196
"Cyp12c1",0.585,3.553,2.361,0.8,0.56,1.30555040427274,4.08693302710926,1.45154123785296
"CG15431",-0.428,2.552,0.952,1.819,-0.189,1.61455724524109,2.11477462635466,1.43258006407735
"GstT4",3.562,5.597,4.53,3.285,3.052,5.59020318883926,5.81811147810391,4.90707113143924
"CG8740",0.695,3.423,3.448,2.363,1.267,3.29027438424129,3.49171065534946,3.29765326482624
"Neto",-0.136,1.316,0.934,1.824,-0.835,1.08402804511005,1.69227552973677,1.10786376381475
"Wnt6",-0.305,2.266,2.761,1.318,-0.63,1.26728847204218,1.90710393461422,1.42134570056933
"CG13877",2.14,4.165,3.375,-0.157,0.975,4.90866143672301,4.28621192516344,4.23969074388481
"NetB",-0.057,3.726,2.913,2.53,-0.171,2.39684048638303,3.32313509367783,1.58709661630575
"CanA1",-0.309,1.2,2.351,0.481,-0.716,1.17736548209811,1.95216309946331,0.817346859644982
"Dscam3",0.684,-0.591,-0.949,0.877,-0.673,1.79697224169922,1.36028768889834,0.778073446805915
"CG10211",-0.103,1.014,-0.178,2.003,-0.464,1.53111467913332,1.75894295808516,1.61967782203881
"eEF1alpha2",1.96,4.056,3.405,2.163,0.133,2.4240548496459,2.45830833066146,1.49494038885212
"unc80",-0.904,-0.036,-1,0.116,-0.977,0.357183216642298,1.08745692290322,0.72274108434867
"babos",7.013,8.051,8.904,7.997,6.214,8.58101572271951,8.37673145894538,8.13096143217873
"DNaseII",0.68,4.085,-0.679,0.8,-0.653,1.36786675785423,3.99422138940349,1.07528369980156
"CG8785",0.294,2.229,3.45,2.978,-0.457,3.0515628070441,4.01786025615757,2.28238963974447
"Cyp6w1",2.402,4.46,-1,0.186,-0.496,1.65664901748749,2.93367800876389,1.58308190959521
"CG5687",2.135,2.742,1.808,-0.219,0.05,5.474617037127,2.3778999397091,3.2088963439599
"CG10680",2.836,5.244,4.613,1.721,-0.163,1.35490954017205,5.2137952027284,1.94433392334018
"Mmp2",2.859,5.282,4.947,3.04,2.871,5.09224789689829,4.97307194350886,4.41288317938283
"CG8249",NA,NA,NA,NA,NA,0.327483523978831,3.75045000051045,0.461733976348573
"dpp",0.729,3.588,3.757,3.896,0.967,3.53943212611371,4.44586576198769,3.55129209524606
"CG5321",NA,NA,NA,NA,NA,0.621854174956978,4.00321412000284,1.4093523900809
"CG13315",5.33,6.473,6.898,2.683,4.592,6.67425122478444,9.83707333000417,5.68405586900812
"Cda4",-0.184,0.371,-1,3.866,-1,0.594844289878664,3.06653397908474,1.1190021707622
"Ddc",-0.313,1.093,-1,0.064,-0.172,1.73768167700111,2.60864658830103,1.16518829358978
"cDIP",0.688,3.707,2.813,-0.476,-0.218,2.31225500663646,2.69389817888109,1.0600419177143
"CG32204",-0.227,4.354,4.313,0.604,-0.847,1.84206769640467,1.48401116025041,2.17397941220534
"CG31436",1.987,1.626,4.27,0.376,0.279,1.85235009817999,2.50724836908778,2.86864076095048
"CG9394",1.886,3.382,3.688,1.925,0.411,4.46484189506639,4.16093752113858,5.26056284819095
"cona",7.635,8.281,7.598,4.457,1.171,5.1704286602868,4.29943639754269,5.42400877752012
"CG6503",5.755,7.936,5.264,0.319,-1,5.08372663108455,7.04900993967338,5.28986947527911
"CG12402",-0.344,1.579,1.178,0.635,-0.932,0.959115122733448,1.30989697329871,0.649026614174041
"CG10562",0.159,1.146,-1,0.646,-0.85,1.25598454447559,4.85024135757013,1.49158201377917
"Elal",NA,NA,NA,NA,NA,0.799803049543008,3.03463483255529,1.538898448632
"CG17350",-0.492,-0.192,3.505,1.426,-1,2.04204601162567,3.81046414555458,2.63606435876479
"CG10019",-0.434,2.804,2.61,0.528,-0.789,2.29379392804558,2.22545990965021,1.26372030554966
"CG7646",2.875,3.452,5.397,3.171,2.514,4.49347696400828,4.53698248597111,4.12109847673065
"miple1",0.374,1.844,2.373,-0.86,-0.584,1.33578618838629,2.10557051213302,0.942141337612104
"CG42458",0.073,1.518,2.069,1.713,-0.559,1.65280543913031,1.54729451010464,1.12340351512207
"P5cr-2",1.501,2.433,-1,0.632,0.383,1.6729278407451,4.84497592831027,1.69960231802812
"CG8837",NA,NA,NA,NA,NA,0.153850816357952,4.2565985378624,0.179572839508794
"CG34398",-0.497,2.019,-0.459,0.158,-0.419,1.87990167381339,1.26987173853129,1.71758963131977
"pk",0.673,3.844,0.184,2.662,-0.519,2.87307318358795,2.72482242492954,2.82601890741356
"Rcd-1r",5.037,6.318,3.735,1.148,-0.01,6.53899391773997,3.62861213341462,2.05114203183405
"Lsd-1",4.001,5.853,5.131,3.003,2.71,4.89406422504183,5.27923313332631,4.35383285994192
"CG3984",0.96,4.054,2.046,2.698,0.232,0.859785145069512,2.52905322805014,1.56477596615548
"CG32333",-0.579,-0.082,1.252,1.335,-0.858,0.439204525207106,0.829977666538176,0.774703835259548
"pnr",NA,NA,NA,NA,NA,0.789415437818163,2.07516713363736,0.805648895028183
"Lapsyn",4.492,5.499,6.007,3.945,3.478,4.83789486447546,5.02827990780016,4.61034645871983
"CG2269",-1,0.109,-0.894,-0.364,-0.885,0.25694687539376,1.67627677443006,0.121854726768944
"CG13607",NA,NA,NA,NA,NA,0.758920193075807,3.0405067828221,1.1057062923057
"Ca-beta",-0.166,3.282,3.105,3.286,0.846,2.80431555187689,3.65305928478716,2.76248345586511
"RluA-1",-0.35,1.378,-1,1.081,-0.727,1.23771877294278,2.12464273313085,0.73598186580408
"CG8501",1.06,3.462,2.296,1.073,-0.792,3.63619441777858,4.75201606538571,3.23290728018967
"firl",1.617,3.585,1.814,0.875,0.311,3.18464116202539,2.98915127093479,2.48549820702124
"dpr8",-0.793,2.537,0.965,0.157,-0.546,1.07095895643415,1.41813863590117,0.712960174856459
"CG4577",0.271,0.662,2.102,0.323,-0.682,0.816364252928104,2.21559640653681,0.906532320243778
"CG11319",-0.86,0.766,-1,-0.031,-0.439,0.769013780647955,1.4360009446664,0.597256908163833
"CG6012",0.337,2.187,3.222,1.603,-0.786,1.83785834751276,3.19231607280364,1.498858880928
"CG15599",0.419,3.145,-0.885,-0.089,-0.706,5.40779030792562,1.39275030460156,0.401650620734085
"CG45263",-0.005,2.746,1.987,2.341,-0.245,2.07477499678293,2.40875027065762,2.02276635767537
"Tsp42Eo",0.841,2.801,3.57,1.888,-0.752,3.40306357359396,3.55318911597659,3.65843301550814
"CG42489",1.329,2.6,-1,1.644,0.334,3.61916561648799,4.25995986002418,3.32960597577884
"Obp18a",0.929,4.18,-1,1.581,-1,3.20837100749453,4.61949612258772,2.92172386355769
"CG14298",1.762,3.986,3.841,3.239,0.875,4.22232581098652,4.54455136229721,3.66851209280881
"tow",-0.661,1.298,2.041,0.5,-0.913,1.64516839181972,2.04631619507763,1.12964575269157
"sr",-0.832,0.829,2.287,1.064,-0.914,1.09180216217654,1.61252194524557,1.17832474273108
"CG33557",2.488,3.142,5.946,4.835,-0.42,3.85270989869617,4.88020413460173,3.37819100671822
"Gbs-76A",-0.434,2.07,2.608,-0.189,-0.39,1.40908949943925,1.85009121902788,1.04717486333819
"ATP8B",0.358,3.255,2.701,1.75,0.715,2.71855162570712,2.61784444298319,2.08319953954291
"Ugt307A1",0.48,2.84,-1,-1,-0.713,3.36274988483743,2.31733936113916,1.65823736049675
"Osi19",3.163,7.318,-1,0.17,2.914,5.14235828016015,2.75856987370791,4.20480305159651
"CG14285",2.543,3.497,3.985,3.574,1.677,3.88016450160846,3.74490738505036,4.07412643645659
"fj",-0.483,1.624,-0.037,1.256,-0.81,1.22789414697734,1.26684240751257,1.46299244070621
"SkpC",5.794,6.259,5.133,1.836,-0.156,7.33798397522016,3.220911493676,2.98137014894485
"jus",-0.134,1.939,0.845,0.3,-0.564,1.06802375637668,2.08913428925701,0.682550775798495
"Ctr1B",1.009,2.081,-1,1.757,0.036,3.50422536213031,3.93842271403475,2.46194963287577
"Cyp6d5",3.06,5.871,2.114,2.966,-0.141,3.42166456135318,5.39255775412233,2.25929402428089
"Vha36-3",2.336,3.785,2.421,2.292,-0.4,2.28579336590579,2.42307622187933,2.78104771726196
"CG13314",2.302,2.61,3.775,-0.454,1.008,4.33546589258324,3.55284577600293,4.42301827841592
"CG7724",3.396,4.483,2.759,2.519,-0.695,2.00839060357624,3.11901608130698,1.73174744574733
"Myo61F",4.683,6.54,4.098,5.421,4.452,6.0733236217569,5.90306311374132,5.54974811305673
"SmydA-8",-0.369,0.838,-1,1.667,-0.541,2.51141617404502,2.26378633748462,2.78767937389369
"CG15096",3.733,6.232,4.629,4.091,0.985,5.44489950209543,7.32989524931265,4.94303246220104
"Nep6",NA,NA,NA,NA,NA,0.698626690711199,2.96375135060509,0.640708879157386
"skl",NA,NA,NA,NA,NA,1.36339540306431,2.91726162283024,0.827428396065446
"Sk1",0.881,2.169,-1,0.278,0.765,2.09985931141515,2.45388722466924,1.75940624554071
"CG3251",NA,NA,NA,NA,NA,3.28812247680125,1.72740553629367,0.199455199627461
"yellow-f",1.491,2.836,2.079,-0.229,0.186,2.87523784527934,2.90819885253506,1.94050525450334
"CG10970",-0.743,0.346,-1,0.596,-1,2.20690055968879,2.2678618023663,2.08948137184713
"CG31370",2.308,1.325,3.236,2.435,2.558,2.81115519930468,2.99791125206098,2.33073143144508
"meng",-0.356,1.495,0.798,1.173,-0.914,1.65783211212325,1.83530334844878,1.45284760004861
"Nepl20",NA,NA,NA,NA,NA,1.10149004120009,1.66832007557906,1.25700875888515
"CG11236",NA,NA,NA,NA,NA,0.990962844026592,2.82309234094146,1.52726329903138
"CG31300",2.468,0.357,1.367,-1,-0.353,4.31197670976631,4.11776391781744,2.38766705268535
"Sr-CIV",NA,NA,NA,NA,NA,0.149876475061709,4.02387411513074,0.316797281333042
"CG17760",-0.117,0.844,2.32,-0.156,-0.593,2.33895009198982,2.46375430841922,0.722632881921404
"Rbp6",-0.742,1.821,1.253,2.179,-0.383,2.46867529622594,2.59270853165658,1.65059143517129
"CG10361",0.592,3.243,-1,1.273,-0.235,2.27774011944524,2.72273555322355,2.65410746040501
"CG13068",1.338,1.967,4.103,4.598,-1,2.76193341915458,4.66956292784081,3.38332719209793
"CG18628",9.681,8.979,9.926,3.917,4.917,12.8519040466613,10.4112020659024,10.3004930897016
"dsx-c73A",1.739,4.329,-1,2.405,-0.221,2.11893498090289,1.85566865134736,1.90663403984008
"CG42305",NA,NA,NA,NA,NA,3.22733332553627,3.44849110825359,3.42274604135851
"CG5984",0.069,2.015,-1,1.128,-0.242,2.06187154688288,2.47516108729277,1.56382943545349
"NimB1",0.245,1.579,0.13,-0.294,-1,2.80251236255497,2.83296428137559,2.62886720459717
"Idgf5",NA,NA,NA,NA,NA,0.692997183423422,2.36715021139735,0.850967093134745
"CG4927",0.096,2.93,2.142,-0.233,-0.572,2.18459193153599,3.06547652001745,1.33583542214042
"CG30069",0.365,3.932,3.46,3.883,1.423,4.03045559059941,4.50116148168708,3.72092434385979
"Spn88Eb",NA,NA,NA,NA,NA,0.836730288627694,2.4206473895216,1.04862409936558
"CG13086",0.761,2.822,2.84,1.181,-0.431,1.56946036371911,5.49194002897818,1.5244667336316
"CG8927",1.37,2.792,2.39,0.564,-0.843,2.08225385901048,3.19046023326018,2.29164423307107
"qjt",5.008,5.316,3.522,0.875,0.425,3.94969910871701,2.9534474851621,1.64553282716693
"CG1561",0.471,2.969,1.965,4.268,0.21,3.01445405058114,2.88600352367268,2.45321242480695
"ssp7",5.078,6.497,2.662,1.823,-0.069,4.62956627661057,5.96721071734848,4.57075126371112
"CG42857",4.476,4.728,2.936,2.036,2.179,6.0888484966114,3.11548243185841,2.42865880361181
"GluRIIB",-0.916,0.59,-1,0.681,-1,0.695551325795708,1.37431059829595,0.578074600758503
"Alk",-0.827,0.574,-1,-0.355,-0.904,0.498266039681661,0.908670427048867,0.504151001234479
"CG33203",-0.534,2.059,-1,0.81,-0.73,1.19857334548858,1.2779710579851,1.16927052365835
"CG30148",-0.173,2.633,2.18,0.877,-0.79,3.0206625049409,4.27749431866399,1.90290401817467
"nvy",-0.273,1.406,-0.391,-0.288,-0.637,1.11412661555646,2.13897118255197,0.748549011462259
"dpy",-0.955,0.822,0.686,0.061,-0.909,1.08433786541932,1.01894583720124,1.11434498166436
"Ugt36D1",3.443,5.011,5.304,4.754,3.388,5.67311635898475,4.72884372195372,4.8841621091356
"zfh2",-0.832,1.084,0.38,1.429,-0.33,0.469067359022592,0.911429645810522,0.380907463400338
"Cyp28a5",1.137,3.852,1.925,1.227,-0.268,2.70258581567264,3.36819709304049,1.81655567514282
"alpha-Est2",1.219,2.407,1.81,0.032,-0.107,0.527915120523059,1.72790595412705,1.22382419462068
"CG8086",-0.561,2.982,0.982,1.175,-0.399,3.28589058223026,3.34328121226983,2.80475248158998
"CG8483",-0.381,0.967,-1,1.36,-0.877,1.22075834359923,2.49060478841365,0.887405404554344
"NfI",-0.608,3.945,2.519,2.755,-0.113,1.65003490605953,2.57398823146987,0.934926927454684
"Rab3-GEF",-0.544,2.304,-1,-0.275,-0.919,1.99391659945524,0.56628128250903,0.312790579290023
"bgcn",3.967,6.082,4.047,1.237,-0.25,2.09837021021007,1.39501654810474,1.21418915163796
"CG40298",0.902,2.871,2.854,2.728,1.006,3.03198907538119,3.31307394971495,2.27472534682847
"pyx",1.292,4.362,2.794,2.745,0.555,3.11664562243263,3.7753363231263,3.08564438000849
"CG43324",2.399,3.941,4.028,0.787,-0.078,3.10472109201482,4.01076698277658,1.91142411371647
"CG10063",5.193,6.816,6.133,2.835,0.935,5.26597830360964,3.92095011671253,4.11293905331788
"Spn42Dd",3.606,5.162,4.636,4.72,2.163,4.20697718139125,3.76482023526751,4.35094217413233
